data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-06-23,TikTok Ads,3387,0,7.51,0.0,0.0,0.0,0.0,2.22,0.0,0.0
2025-06-24,TikTok Ads,2885,0,6.99,0.0,0.0,0.0,0.0,2.42,0.0,0.0
2025-06-25,TikTok Ads,2578,0,6.51,0.0,0.0,0.0,0.0,2.53,0.0,0.0
2025-06-26,TikTok Ads,2201,0,5.74,0.0,0.0,0.0,0.0,2.61,0.0,0.0
2025-06-27,TikTok Ads,2976,0,7.88,0.0,0.0,0.0,0.0,2.65,0.0,0.0
2025-06-28,TikTok Ads,4810,0,13.35,0.0,0.0,0.0,0.0,2.78,0.0,0.0
2025-06-29,TikTok Ads,5137,0,13.13,0.0,0.0,0.0,0.0,2.56,0.0,0.0
2025-06-30,TikTok Ads,9925,0,23.3,0.0,0.0,0.0,0.0,2.35,0.0,0.0
2025-07-01,TikTok Ads,17020,0,28.21,0.0,0.0,0.0,0.0,1.66,0.0,0.0
2025-07-02,TikTok Ads,15002,0,26.8,0.0,0.0,0.0,0.0,1.79,0.0,0.0
2025-07-03,TikTok Ads,22404,0,45.12,0.0,0.0,0.0,0.0,2.01,0.0,0.0
2025-07-04,TikTok Ads,25075,0,50.63,0.0,0.0,0.0,0.0,2.02,0.0,0.0
2025-07-05,TikTok Ads,26491,0,50.28,0.0,0.0,0.0,0.0,1.9,0.0,0.0
2025-07-06,TikTok Ads,26683,0,50.52,0.0,0.0,0.0,0.0,1.89,0.0,0.0
2025-07-07,TikTok Ads,26090,0,49.92,0.0,0.0,0.0,0.0,1.91,0.0,0.0
2025-07-08,TikTok Ads,24874,0,48.17,0.0,0.0,0.0,0.0,1.94,0.0,0.0
2025-07-09,TikTok Ads,23185,0,47.55,0.0,0.0,0.0,0.0,2.05,0.0,0.0
2025-07-10,TikTok Ads,23108,0,48.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0
2025-07-11,TikTok Ads,24119,0,48.75,0.0,0.0,0.0,0.0,2.02,0.0,0.0
