plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503002,501,179,11.422217,48.918958,0.23349264716554263,35.728542914171655
Google Ads,faixa_etaria,503002,376,183,12.854377,55.19359,0.2328961931992465,48.67021276595745
Google Ads,faixa_etaria,503002,502,173,16.127881,67.603894,0.23856437914656217,34.462151394422314
Google Ads,faixa_etaria,503002,672,172,19.849358,69.333334,0.2862888145549152,25.595238095238095
Google Ads,faixa_etaria,503002,1208,385,43.197434,132.924242,0.3249778471559763,31.870860927152318
Google Ads,faixa_etaria,503002,1175,355,33.760818,120.440127,0.2803120425138708,30.21276595744681
Google Ads,faixa_etaria,503002,704,211,19.870672,41.090909,0.4835783019548192,29.97159090909091
Google Ads,faixa_etaria,503002,642,192,14.698751,64.388528,0.22828214057013388,29.906542056074763
Google Ads,faixa_etaria,503002,719,218,19.64739,39.007575,0.5036814003433948,30.319888734353267
Google Ads,faixa_etaria,503002,697,186,18.284155,29.5,0.6198018644067796,26.6857962697274
Google Ads,faixa_etaria,503002,820,240,19.643068,12.0,1.6369223333333334,29.268292682926827
Google Ads,faixa_etaria,503002,1653,487,54.283257,29.0,1.871836448275862,29.461584996975198
Google Ads,faixa_etaria,503002,1960,514,57.185948,4.0,14.296487,26.224489795918366
Google Ads,faixa_etaria,503003,359,181,2.768682,91.575759,0.030233787087694242,50.41782729805014
Google Ads,faixa_etaria,503003,640,274,6.827482,122.477636,0.05574472387759019,42.8125
Google Ads,faixa_etaria,503003,394,216,5.446489,92.68594,0.0587628393260078,54.82233502538071
Google Ads,faixa_etaria,503003,478,190,5.877144,99.535353,0.059045794512830034,39.74895397489539
Google Ads,faixa_etaria,503003,319,138,5.124863,59.229167,0.08652600162349068,43.260188087774296
Google Ads,faixa_etaria,503003,539,191,5.209542,71.328851,0.07303555191152596,35.43599257884972
Google Ads,faixa_etaria,503003,396,223,4.993646,85.099327,0.058680205543811176,56.313131313131315
Google Ads,faixa_etaria,503003,510,247,5.058287,111.640213,0.04530882613059865,48.431372549019606
Google Ads,faixa_etaria,503003,516,214,5.113979,111.49134,0.04586884506007372,41.47286821705426
Google Ads,faixa_etaria,503003,514,227,5.303911,106.083334,0.04999758963080855,44.16342412451362
Google Ads,faixa_etaria,503003,626,218,5.230289,93.882304,0.05571112741331955,34.82428115015975
Google Ads,faixa_etaria,503003,481,161,5.56298,63.924243,0.08702457375991139,33.471933471933475
Google Ads,faixa_etaria,503003,360,215,5.129518,97.66883,0.05251949880018016,59.72222222222222
Google Ads,faixa_etaria,503003,420,199,4.44711,108.981767,0.04080600014496003,47.38095238095238
Google Ads,faixa_etaria,503003,485,185,4.768076,87.250003,0.05464843365105672,38.144329896907216
Google Ads,faixa_etaria,503003,322,190,4.516113,74.051947,0.06098574288667927,59.006211180124225
Google Ads,faixa_etaria,503003,429,179,4.460788,71.310606,0.06255434149584985,41.72494172494173
Google Ads,faixa_etaria,503003,454,155,4.413986,82.46212,0.05352743781023336,34.140969162995596
Google Ads,faixa_etaria,503003,408,133,4.157628,59.74359,0.06959119798458713,32.59803921568628
Google Ads,faixa_etaria,503003,333,178,4.25,75.174243,0.05653532154623758,53.453453453453456
Google Ads,faixa_etaria,503003,462,166,3.9,71.0,0.05492957746478873,35.93073593073593
Google Ads,faixa_etaria,503003,385,133,4.612529,77.315935,0.05965819335949311,34.54545454545455
Google Ads,faixa_etaria,503003,386,179,6.497628,83.324677,0.07797963621269123,46.373056994818654
Google Ads,faixa_etaria,503003,428,183,6.342713,100.916667,0.06285099566358052,42.757009345794394
Google Ads,faixa_etaria,503003,87,71,1.323476,34.507577,0.03835319993635022,81.60919540229885
Google Ads,faixa_etaria,503003,493,305,4.931958,136.196104,0.03621218122362737,61.86612576064908
Google Ads,faixa_etaria,503003,378,139,3.423946,58.940477,0.05809158958791596,36.77248677248677
Google Ads,faixa_etaria,503003,286,189,2.876526,89.662338,0.03208176436353913,66.08391608391608
Google Ads,faixa_etaria,503003,489,187,3.446514,61.2987,0.0562249117844261,38.24130879345603
Google Ads,faixa_etaria,503003,464,161,3.153593,62.646637,0.05033938214432803,34.69827586206897
Google Ads,faixa_etaria,503003,374,132,2.234737,54.043289,0.04135086967042291,35.294117647058826
Google Ads,faixa_etaria,503003,505,195,4.494586,65.505496,0.06861387630741703,38.613861386138616
Google Ads,faixa_etaria,503003,505,304,5.015634,124.010073,0.040445375755887185,60.198019801980195
Google Ads,faixa_etaria,503003,446,228,3.570527,96.397017,0.03703980798492965,51.12107623318386
Google Ads,faixa_etaria,503003,551,235,3.217997,108.74359,0.02959252126952954,42.6497277676951
Google Ads,faixa_etaria,503003,462,215,3.115653,97.852814,0.031840198279836904,46.53679653679654
Google Ads,faixa_etaria,503003,288,100,1.323916,40.499999,0.03268928475776012,34.72222222222222
Google Ads,faixa_etaria,503003,176,62,0.908231,19.742424,0.04600402665852987,35.22727272727273
Google Ads,faixa_etaria,503003,347,120,3.270082,40.757577,0.0802324927215374,34.5821325648415
Google Ads,faixa_etaria,503003,392,165,6.641555,66.742422,0.09951024851930006,42.09183673469388
Google Ads,faixa_etaria,503003,344,92,4.117697,53.147185,0.07747723609444225,26.744186046511626
Google Ads,faixa_etaria,503003,226,77,4.744694,26.757577,0.17732151158529788,34.070796460176986
Google Ads,faixa_etaria,503003,269,88,8.677031,51.666666,0.16794253765087144,32.71375464684015
Google Ads,faixa_etaria,503003,221,102,7.553616,46.365838,0.16291339326165097,46.15384615384615
Google Ads,faixa_etaria,503003,334,122,14.650893,52.833334,0.277303964955155,36.52694610778443
Google Ads,faixa_etaria,503003,433,125,14.730108,48.584627,0.3031845443621498,28.868360277136258
Google Ads,faixa_etaria,503003,714,204,24.797697,83.009089,0.2987347204834401,28.57142857142857
Google Ads,faixa_etaria,503003,741,215,22.317889,84.733335,0.26338971551161067,29.01484480431849
Google Ads,faixa_etaria,503003,427,131,13.712492,40.479166,0.33875431129188777,30.679156908665107
Google Ads,faixa_etaria,503003,433,145,11.702775,51.642856,0.22660975605222144,33.48729792147806
Google Ads,faixa_etaria,503003,418,135,12.11768,31.458333,0.385197778916003,32.29665071770335
Google Ads,faixa_etaria,503003,395,107,9.93316,7.90909,1.255916925967463,27.088607594936708
Google Ads,faixa_etaria,503003,477,144,14.910291,17.0,0.8770759411764706,30.18867924528302
Google Ads,faixa_etaria,503003,944,288,29.447716,22.0,1.3385325454545454,30.508474576271187
Google Ads,faixa_etaria,503003,1065,289,29.678044,0.0,0.0,27.136150234741784
Google Ads,faixa_etaria,503004,151,63,1.461161,35.333334,0.041353612427290326,41.72185430463576
Google Ads,faixa_etaria,503004,272,125,2.853476,63.301075,0.04507784425461969,45.955882352941174
Google Ads,faixa_etaria,503004,162,98,2.800706,55.282258,0.05066193207954711,60.49382716049383
Google Ads,faixa_etaria,503004,163,69,2.508784,44.916666,0.05585419006833677,42.331288343558285
Google Ads,faixa_etaria,503004,118,59,2.425324,43.5,0.055754574712643674,50.0
Google Ads,faixa_etaria,503004,213,77,2.754219,21.166668,0.13012057448059372,36.15023474178404
Google Ads,faixa_etaria,503004,172,98,2.654443,38.333333,0.06924633973257686,56.97674418604651
Google Ads,faixa_etaria,503004,226,96,2.151009,46.333333,0.04642465501024932,42.47787610619469
Google Ads,faixa_etaria,503004,242,93,2.381685,60.463334,0.03939056685163937,38.429752066115704
Google Ads,faixa_etaria,503004,217,97,2.34599,50.416666,0.04653203367315086,44.70046082949309
Google Ads,faixa_etaria,503004,227,80,2.407554,43.553335,0.055278292695611034,35.24229074889868
Google Ads,faixa_etaria,503004,183,66,2.236835,32.174243,0.06952253701819808,36.0655737704918
Google Ads,faixa_etaria,503004,131,76,1.771657,26.642423,0.0664975929554155,58.01526717557252
Google Ads,faixa_etaria,503004,197,81,2.070796,44.507577,0.04652681946716623,41.11675126903553
Google Ads,faixa_etaria,503004,237,86,2.504316,42.242426,0.05928437916894262,36.28691983122363
Google Ads,faixa_etaria,503004,173,95,1.990091,47.424242,0.041963580567086343,54.91329479768786
Google Ads,faixa_etaria,503004,169,75,2.089946,32.120636,0.06506552360918383,44.37869822485207
Google Ads,faixa_etaria,503004,183,66,1.345888,27.25,0.04939038532110092,36.0655737704918
Google Ads,faixa_etaria,503004,144,48,1.1,22.409092,0.04908721870569321,33.33333333333333
Google Ads,faixa_etaria,503004,183,90,2.01,34.680662,0.05795737117128848,49.18032786885246
Google Ads,faixa_etaria,503004,195,70,1.65,31.368112,0.05260118938621489,35.8974358974359
Google Ads,faixa_etaria,503004,175,72,2.12,39.821428,0.0532376689253836,41.14285714285714
Google Ads,faixa_etaria,503004,149,71,3.115256,59.333333,0.052504314901709634,47.651006711409394
Google Ads,faixa_etaria,503004,143,52,1.942256,34.733766,0.05591838212994237,36.36363636363637
Google Ads,faixa_etaria,503004,27,18,0.23,5.896104,0.03900880988530731,66.66666666666666
Google Ads,faixa_etaria,503004,214,132,1.987848,57.583333,0.034521238984203985,61.6822429906542
Google Ads,faixa_etaria,503004,166,57,1.3,19.340909,0.067215041444019,34.33734939759036
Google Ads,faixa_etaria,503004,105,52,0.711441,33.669231,0.021130301431594917,49.523809523809526
