plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Arena Super Games,1214730,1656.37,12296.0,4810.0,1943.0,1270.0,,
Meta Ads,ALC - LIQUIDA,1525504,2997.7,25741.0,10409.0,6213.0,4463.0,,
Meta Ads,ALC - Cinema - AON,310770,358.37,43706.0,17475.0,9326.0,6568.0,,
Meta Ads,ALC - Gastronomia — AON,182916,209.95,1341.0,531.0,208.0,131.0,,
Meta Ads,ALC - Arena Super Games,484434,602.29,7957.0,2962.0,1202.0,726.0,,
Meta Ads,ALC - Cinema - AON,244983,244.96,32044.0,13132.0,7964.0,6051.0,,
Meta Ads,ALC - Coleção Boca Rosa Adidas,28692,38.06,429.0,205.0,68.0,40.0,,
Meta Ads,ALC - Oficinas de Carnaval no Neumarkt Shopping,24783,27.59,,,,,,
Meta Ads,ENG - Conteúdos - Fev,23715,125.4,1728.0,896.0,541.0,385.0,,
Meta Ads,ALC - Gastronomia — AON,532584,629.83,3687.0,1531.0,475.0,303.0,,
Meta Ads,ALC - Arena Super Games,977955,1241.2,17153.0,6248.0,2443.0,1525.0,,
Meta Ads,ALC - Cinema - AON,683408,734.99,90917.0,34316.0,18829.0,13331.0,,
Meta Ads,ALC - Coleção Boca Rosa Adidas,119214,152.69,1971.0,912.0,320.0,181.0,,
Meta Ads,ALC - Oficinas de Carnaval no Neumarkt Shopping,106967,112.81,,,,,,
Meta Ads,ENG - Conteúdos - Fev,117141,652.75,21006.0,10923.0,6713.0,4819.0,,
Meta Ads,ALC - Semana do Cinema,157485,199.92,1626.0,819.0,207.0,124.0,,
Meta Ads,ALC- Valentine's Day,71284,99.94,524.0,97.0,62.0,40.0,,
Meta Ads,ALC - Moda Feminina,90156,106.45,1501.0,715.0,260.0,146.0,,
Meta Ads,ALC - Feira Pet NK,188752,200.0,,,,,,
Meta Ads,ALC - Promoção Meu Méqui,15725,21.69,,,,,,
Meta Ads,ALC - Poker NK,27385,37.78,600.0,206.0,102.0,47.0,,
Meta Ads,ENG - POKER,4893,43.29,156.0,54.0,34.0,20.0,,
Meta Ads,ALC - General Ly,18845,24.87,135.0,43.0,27.0,16.0,,
Meta Ads,ALC - Exposição Telomar,18059,24.35,155.0,41.0,23.0,17.0,,
Meta Ads,ALC - Legueiros,53514,65.65,,,,,,
Meta Ads,ALC - Gastronomia — AON,415747,500.92,2727.0,957.0,405.0,250.0,,
Meta Ads,ALC - Cinema - AON,411376,441.53,99526.0,40425.0,23283.0,17209.0,,
Meta Ads,ALC - Moda Feminina,116570,143.5,1836.0,844.0,305.0,182.0,,
Meta Ads,ALC - Promoção Meu Méqui,54617,61.91,,,,,,
Meta Ads,ALC - Poker NK,32275,35.14,624.0,215.0,99.0,47.0,,
Meta Ads,ENG - POKER,6905,40.28,201.0,80.0,52.0,33.0,,
Meta Ads,ALC - General Ly,252869,315.59,1763.0,494.0,301.0,173.0,,
Meta Ads,ALC - Exposição Telomar,217058,268.38,2275.0,694.0,381.0,251.0,,
Meta Ads,ALC - Legueiros,1321255,1723.22,1734.0,382.0,193.0,131.0,,
Meta Ads,ALC - Semana do Consumidor,688156,999.92,3279.0,692.0,365.0,245.0,,
Meta Ads,ALC - Páscoa,180363,236.99,840.0,295.0,170.0,118.0,,
Meta Ads,ALC - Agenda de março,134096,180.18,,,,,,
Meta Ads,ALC - Crepusculo,257366,349.99,3345.0,2004.0,626.0,398.0,,
Meta Ads,ALC - L’Occitane,50752,71.81,669.0,217.0,73.0,45.0,,
Meta Ads,ACL - Outuno,70994,101.11,476.0,180.0,117.0,47.0,,
Meta Ads,ALC - Camiseta BR Centauro,98332,138.89,9386.0,4041.0,2449.0,1661.0,,
Meta Ads,ALC - Foot Wear,174640,249.95,2935.0,1140.0,397.0,243.0,,
Meta Ads,ALC - Tommy Hilfeger,72606,103.26,3462.0,1163.0,581.0,298.0,,
Meta Ads,ALC - Tour pelo NK,39398,57.95,48.0,25.0,23.0,19.0,,
Meta Ads,ENG - Corrida NK,11102,54.55,92.0,52.0,26.0,18.0,,
Meta Ads,ALC - Filme Super Mário,70164,99.5,489.0,128.0,68.0,41.0,,
Meta Ads,TRAF - FRANQUIAS,50563,222.74,,,,,,
Meta Ads,ENG - FRANQUIAS,997,15.54,,,,,,
Meta Ads,ALC - Evento ELAS,164864,265.06,2365.0,932.0,533.0,212.0,,
Meta Ads,ALC - Kopenhagen,54264,81.38,7875.0,2664.0,1297.0,785.0,,
Meta Ads,ALC - Lelis,5681,8.36,150.0,60.0,38.0,26.0,,
Meta Ads,ALC - Gastronomia — AON,443304,563.15,2290.0,684.0,341.0,227.0,,
Meta Ads,ALC - Legueiros,56692,74.18,351.0,96.0,53.0,41.0,,
Meta Ads,ACL - Outuno,53462,61.92,363.0,121.0,69.0,35.0,,
Meta Ads,ALC - Camiseta BR Centauro,79145,91.88,7260.0,2772.0,1564.0,1019.0,,
Meta Ads,ALC - Tommy Hilfeger,126052,146.67,6404.0,2135.0,1035.0,571.0,,
Meta Ads,ALC - Filme Super Mário,175265,200.46,1173.0,334.0,194.0,113.0,,
Meta Ads,TRAF - FRANQUIAS,268447,977.19,,,,,,
Meta Ads,ALC - Evento ELAS,26986,34.92,348.0,148.0,70.0,30.0,,
