hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
0,Google Ads,70,1,0.302765,0.0,1.4285714285714286,0.302765
0,Google Ads,587,9,1.227018,16.0,1.5332197614991483,0.13633533333333334
0,Google Ads,37,0,0.175721,0.0,0.0,0.0
0,Google Ads,1389,1,4.475862,1.0,0.07199424046076314,4.475862
0,Google Ads,331,0,0.944911,2.0,0.0,0.0
0,Google Ads,145,31,3.699152,29.333333,21.379310344827587,0.11932748387096775
0,Google Ads,95,21,1.324816,24.0,22.105263157894736,0.06308647619047619
0,Google Ads,172,90,3.729818,30.068182,52.32558139534884,0.04144242222222222
0,Google Ads,167,73,1.261307,32.166667,43.712574850299404,0.01727817808219178
0,Google Ads,51,8,1.15,4.0,15.686274509803921,0.14375
0,Google Ads,215,67,1.328415,28.833334,31.16279069767442,0.019827089552238806
0,Google Ads,342,21,8.171592,3.0,6.140350877192982,0.38912342857142856
0,Google Ads,259,29,12.990357,8.0,11.196911196911197,0.4479433448275862
0,Google Ads,272,37,11.656702,9.0,13.602941176470587,0.315046
0,Google Ads,292,27,8.742721,8.0,9.246575342465754,0.32380448148148144
0,Google Ads,334,30,9.959473,7.0,8.982035928143713,0.3319824333333333
0,Google Ads,338,32,12.168002,10.0,9.467455621301776,0.3802500625
0,Google Ads,73,5,0.31,6.0,6.8493150684931505,0.062
0,Google Ads,19,2,0.31,3.0,10.526315789473683,0.155
0,Google Ads,654,5,1.616169,47.0,0.764525993883792,0.3232338
0,Google Ads,1726,1,4.632548,55.0,0.057937427578215524,4.632548
0,Google Ads,1234,1,2.694858,26.0,0.08103727714748785,2.694858
0,Google Ads,399,0,1.204502,1.0,0.0,0.0
0,Google Ads,385,0,0.822212,0.0,0.0,0.0
0,Google Ads,37,2,0.56,4.0,5.405405405405405,0.28
0,Google Ads,25,4,0.967657,3.5,16.0,0.24191425
0,Google Ads,612,1,1.326686,23.0,0.16339869281045752,1.326686
0,Google Ads,225,0,0.73905,0.0,0.0,0.0
0,Google Ads,358,0,1.011376,0.0,0.0,0.0
0,Google Ads,396,0,1.205844,1.0,0.0,0.0
0,Google Ads,24,4,0.29,2.0,16.666666666666664,0.0725
0,Google Ads,23,2,0.38,1.0,8.695652173913043,0.19
0,Google Ads,178,5,0.494453,0.0,2.8089887640449436,0.0988906
0,Google Ads,107,4,1.995365,1.0,3.7383177570093453,0.49884125
0,Google Ads,59,1,1.187901,0.0,1.694915254237288,1.187901
0,Google Ads,79,3,5.304132,17.0,3.79746835443038,1.768044
0,Google Ads,165,7,4.907841,11.0,4.242424242424243,0.7011201428571429
0,Google Ads,679,5,1.242201,9.0,0.7363770250368188,0.24844020000000003
0,Google Ads,941,0,2.416013,31.0,0.0,0.0
0,Google Ads,316,0,0.85834,1.0,0.0,0.0
0,Google Ads,203,4,2.356386,1.0,1.9704433497536946,0.5890965
0,Google Ads,403,0,1.25852,9.0,0.0,0.0
0,Google Ads,282,1,0.4493,3.0,0.3546099290780142,0.4493
0,Google Ads,5208,13,14.295846,0.0,0.24961597542242703,1.0996804615384614
0,Google Ads,1140,6,3.049168,31.0,0.5263157894736842,0.5081946666666667
0,Google Ads,537,0,1.028515,2.0,0.0,0.0
0,Google Ads,493,1,0.861454,1.0,0.2028397565922921,0.861454
0,Google Ads,388,0,0.858956,1.0,0.0,0.0
0,Google Ads,407,0,1.424619,2.0,0.0,0.0
0,Google Ads,361,0,0.791479,0.0,0.0,0.0
0,Google Ads,312,0,0.708986,0.0,0.0,0.0
0,Google Ads,97,1,1.353592,1.0,1.0309278350515463,1.353592
0,Google Ads,97,0,0.761621,0.0,0.0,0.0
0,Google Ads,81,5,0.086215,0.0,6.172839506172839,0.017243
0,Google Ads,120,6,0.206539,0.0,5.0,0.034423166666666664
0,Google Ads,747,4,3.497765,7.0,0.535475234270415,0.87444125
0,Google Ads,312,5,1.554059,13.0,1.6025641025641024,0.3108118
0,Google Ads,75,3,1.243596,4.0,4.0,0.41453199999999996
0,Google Ads,133,5,1.435165,1.0,3.7593984962406015,0.287033
0,Google Ads,40,4,0.055204,0.0,10.0,0.013801
0,Google Ads,137,5,0.196458,0.0,3.64963503649635,0.039291599999999996
0,Google Ads,4107,1,8.732737,65.0,0.024348672997321647,8.732737
0,Google Ads,3552,0,7.865769,59.0,0.0,0.0
0,Google Ads,95,2,1.464584,8.0,2.1052631578947367,0.732292
0,Google Ads,144,6,0.209898,1.0,4.166666666666666,0.034983
0,Google Ads,6,0,0.01344,0.0,0.0,0.0
0,Google Ads,5615,11,16.441463,5.0,0.19590382902938555,1.4946784545454543
0,Google Ads,374,4,1.389726,4.0,1.06951871657754,0.3474315
0,Google Ads,365,1,3.215315,12.0,0.273972602739726,3.215315
0,Google Ads,592,5,2.885489,26.0,0.8445945945945946,0.5770978
0,Google Ads,118,0,0.785276,2.0,0.0,0.0
0,Google Ads,165,1,0.946536,9.0,0.6060606060606061,0.946536
0,Google Ads,93,1,0.454968,2.0,1.0752688172043012,0.454968
0,Google Ads,5,1,0.41,0.0,20.0,0.41
0,Google Ads,3,0,0.0,0.0,0.0,0.0
0,Google Ads,1,0,0.0,0.0,0.0,0.0
0,Google Ads,91,1,0.347301,0.0,1.098901098901099,0.347301
0,Google Ads,117,0,0.913157,2.0,0.0,0.0
0,Google Ads,111,2,0.25664,2.0,1.8018018018018018,0.12832
0,Google Ads,907,4,3.35567,0.0,0.4410143329658214,0.8389175
0,Google Ads,1516,3,11.210289,15.0,0.1978891820580475,3.736763
0,Google Ads,21,2,0.15,4.0,9.523809523809524,0.075
0,Google Ads,25,2,0.02576,0.0,8.0,0.01288
0,Google Ads,42,4,0.137414,0.0,9.523809523809524,0.0343535
0,Google Ads,8,0,0.01711,0.0,0.0,0.0
0,Google Ads,4573,3,25.522873,71.0,0.0656024491581019,8.507624333333334
0,Google Ads,4125,6,13.64827,74.0,0.14545454545454545,2.2747116666666667
0,Google Ads,5592,2,19.480998,54.0,0.035765379113018594,9.740499
0,Google Ads,22,2,0.52,1.0,9.090909090909092,0.26
0,Google Ads,53,11,0.39,1.0,20.754716981132077,0.035454545454545454
0,Google Ads,279,7,0.578864,0.0,2.5089605734767026,0.08269485714285715
0,Google Ads,59,0,0.082345,0.0,0.0,0.0
0,Google Ads,4,0,0.001555,0.0,0.0,0.0
0,Google Ads,3526,9,23.337224,56.0,0.2552467385138968,2.593024888888889
0,Google Ads,2262,3,15.088455,34.0,0.1326259946949602,5.029485
0,Google Ads,76,7,0.43,0.0,9.210526315789473,0.06142857142857143
0,Google Ads,11,3,0.53,2.0,27.27272727272727,0.17666666666666667
0,Google Ads,24,4,0.25,2.333334,16.666666666666664,0.0625
0,Google Ads,27,0,0.075181,1.0,0.0,0.0
0,Google Ads,194,4,1.347092,13.0,2.0618556701030926,0.336773
0,Google Ads,297,3,0.552142,10.0,1.0101010101010102,0.18404733333333334
0,Google Ads,33,0,0.252951,0.0,0.0,0.0
0,Google Ads,788,1,3.829029,1.0,0.12690355329949238,3.829029
0,Google Ads,303,1,0.581879,6.0,0.33003300330033003,0.581879
0,Google Ads,146,38,4.613004,36.166667,26.027397260273972,0.12139484210526316
0,Google Ads,98,32,2.185391,21.0,32.6530612244898,0.06829346875
0,Google Ads,213,91,2.715314,26.646103,42.72300469483568,0.029838615384615384
0,Google Ads,176,53,0.947068,14.5625,30.113636363636363,0.01786920754716981
0,Google Ads,45,8,1.79,4.0,17.77777777777778,0.22375
0,Google Ads,301,79,1.325256,37.809524,26.245847176079735,0.016775392405063292
0,Google Ads,256,25,5.197307,4.0,9.765625,0.20789228
0,Google Ads,273,35,16.235717,10.0,12.82051282051282,0.4638776285714286
0,Google Ads,331,33,13.181375,9.0,9.969788519637463,0.399435606060606
0,Google Ads,286,24,6.949777,11.0,8.391608391608392,0.28957404166666667
0,Google Ads,429,30,12.513425,8.0,6.993006993006993,0.4171141666666667
0,Google Ads,348,32,13.859338,11.0,9.195402298850574,0.4331043125
0,Google Ads,103,7,0.42,4.0,6.796116504854369,0.06
0,Google Ads,22,1,0.01,1.0,4.545454545454546,0.01
