plataforma,dispositivo,impressoes,cliques,custo,conversoes,sessoes,usuarios,ctr
Google Ads,DESKTOP,1417,5,4.803146,38.0,,,0.35285815102328866
Google Ads,DESKTOP,2050,1,5.657057,45.0,,,0.04878048780487805
Google Ads,DESKTOP,80,0,0.078537,0.0,,,0.0
Google Ads,DESKTOP,257,0,0.763976,0.0,,,0.0
Google Ads,DESKTOP,140,8,1.830414,3.5,,,5.714285714285714
Google Ads,DESKTOP,57,3,1.04,0.0,,,5.263157894736842
Google Ads,DESKTOP,2271,1,4.911971,36.0,,,0.044033465433729636
Google Ads,DESKTOP,163,0,0.40571,0.0,,,0.0
Google Ads,DESKTOP,214,0,0.510234,0.0,,,0.0
Google Ads,DESKTOP,218,0,0.656987,0.0,,,0.0
Google Ads,DESKTOP,102,2,0.22,0.0,,,1.9607843137254901
Google Ads,DESKTOP,69,5,1.43,4.0,,,7.246376811594203
Google Ads,DESKTOP,2,0,0.001728,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.001294,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.000395,0.0,,,0.0
Google Ads,DESKTOP,2994,3,6.014235,25.0,,,0.1002004008016032
Google Ads,DESKTOP,2728,2,8.586852,73.0,,,0.07331378299120235
Google Ads,DESKTOP,202,0,0.558619,1.0,,,0.0
Google Ads,DESKTOP,1,0,0.000492,0.0,,,0.0
Google Ads,DESKTOP,1449,0,5.664021,32.0,,,0.0
Google Ads,DESKTOP,58,0,0.111836,0.0,,,0.0
Google Ads,DESKTOP,23,1,0.127961,0.0,,,4.3478260869565215
Google Ads,DESKTOP,668,2,1.662122,8.0,,,0.29940119760479045
Google Ads,DESKTOP,99,2,0.288043,2.0,,,2.0202020202020203
Google Ads,DESKTOP,130,5,0.676877,1.0,,,3.8461538461538463
Google Ads,DESKTOP,67,3,0.394406,1.0,,,4.477611940298507
Google Ads,DESKTOP,1262,2,1.615209,40.0,,,0.15847860538827258
Google Ads,DESKTOP,1356,0,3.597172,46.0,,,0.0
Google Ads,DESKTOP,1503,3,2.34997,37.0,,,0.19960079840319359
Google Ads,DESKTOP,63,0,0.067346,0.0,,,0.0
Google Ads,DESKTOP,288,0,0.993817,2.0,,,0.0
Google Ads,DESKTOP,136,11,2.077468,10.0,,,8.088235294117647
Google Ads,DESKTOP,38,4,1.19,1.0,,,10.526315789473683
Google Ads,DESKTOP,1999,3,3.298483,41.0,,,0.1500750375187594
Google Ads,DESKTOP,178,0,0.46653,1.0,,,0.0
Google Ads,DESKTOP,237,0,0.557341,0.0,,,0.0
Google Ads,DESKTOP,250,1,0.714298,0.0,,,0.4
Google Ads,DESKTOP,66,6,1.11,3.0,,,9.090909090909092
Google Ads,DESKTOP,56,1,1.17,1.0,,,1.7857142857142856
Google Ads,DESKTOP,2,0,0.002988,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.000368,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.000786,0.0,,,0.0
Google Ads,DESKTOP,2649,3,3.575209,43.0,,,0.11325028312570783
Google Ads,DESKTOP,2122,4,4.261414,82.0,,,0.1885014137606032
Google Ads,DESKTOP,162,0,0.51446,1.0,,,0.0
Google Ads,DESKTOP,3,0,0.007205,0.0,,,0.0
Google Ads,DESKTOP,64,0,0.141153,0.0,,,0.0
Google Ads,DESKTOP,19,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,751,0,1.355613,10.0,,,0.0
Google Ads,DESKTOP,1022,2,6.072407,23.0,,,0.19569471624266144
Google Ads,DESKTOP,96,3,0.32,1.0,,,3.125
Google Ads,DESKTOP,36,1,0.3,0.0,,,2.7777777777777777
Google Ads,DESKTOP,1188,3,1.580233,38.0,,,0.25252525252525254
Google Ads,DESKTOP,976,0,2.581563,28.0,,,0.0
Google Ads,DESKTOP,1353,1,2.16087,51.0,,,0.07390983000739099
Google Ads,DESKTOP,113,0,0.119442,0.0,,,0.0
Google Ads,DESKTOP,251,0,0.913849,1.0,,,0.0
Google Ads,DESKTOP,111,2,0.68,1.0,,,1.8018018018018018
Google Ads,DESKTOP,37,3,0.62,1.0,,,8.108108108108109
Google Ads,DESKTOP,2128,1,3.810414,34.0,,,0.046992481203007516
Google Ads,DESKTOP,140,0,0.399519,0.0,,,0.0
Google Ads,DESKTOP,260,0,0.539982,0.0,,,0.0
Google Ads,DESKTOP,232,0,0.661706,0.0,,,0.0
Google Ads,DESKTOP,50,2,0.402157,4.0,,,4.0
Google Ads,DESKTOP,39,2,0.74,4.0,,,5.128205128205128
Google Ads,DESKTOP,1,0,0.000703,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.002437,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.000411,0.0,,,0.0
Google Ads,DESKTOP,2344,2,3.345337,37.0,,,0.08532423208191127
Google Ads,DESKTOP,1806,3,3.756033,72.0,,,0.16611295681063123
Google Ads,DESKTOP,141,0,0.406435,0.0,,,0.0
Google Ads,DESKTOP,7,0,0.007292,0.0,,,0.0
Google Ads,DESKTOP,71,0,0.146769,0.0,,,0.0
Google Ads,DESKTOP,15,1,1.05,0.0,,,6.666666666666667
Google Ads,DESKTOP,658,1,1.310245,9.0,,,0.1519756838905775
Google Ads,DESKTOP,1029,0,6.735498,17.0,,,0.0
Google Ads,DESKTOP,61,1,0.15,1.0,,,1.639344262295082
Google Ads,DESKTOP,45,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,806,0,0.974176,25.0,,,0.0
Google Ads,DESKTOP,592,1,2.125542,24.0,,,0.16891891891891891
Google Ads,DESKTOP,940,0,1.472968,24.0,,,0.0
Google Ads,DESKTOP,50,0,0.060531,0.0,,,0.0
Google Ads,DESKTOP,94,0,0.30119,1.0,,,0.0
Google Ads,DESKTOP,77,3,0.599852,2.5,,,3.896103896103896
Google Ads,DESKTOP,51,2,0.58,1.0,,,3.9215686274509802
Google Ads,DESKTOP,1320,4,2.360219,38.0,,,0.30303030303030304
Google Ads,DESKTOP,50,0,0.128122,0.0,,,0.0
Google Ads,DESKTOP,96,0,0.235447,0.0,,,0.0
Google Ads,DESKTOP,52,0,0.149955,0.0,,,0.0
Google Ads,DESKTOP,62,2,0.6,2.0,,,3.225806451612903
Google Ads,DESKTOP,34,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,1435,1,2.091988,26.0,,,0.06968641114982578
Google Ads,DESKTOP,1107,0,2.178372,39.0,,,0.0
Google Ads,DESKTOP,51,0,0.151591,1.0,,,0.0
Google Ads,DESKTOP,1,0,0.000372,0.0,,,0.0
Google Ads,DESKTOP,56,0,0.107321,0.0,,,0.0
Google Ads,DESKTOP,23,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,910,1,1.731224,15.0,,,0.10989010989010989
Google Ads,DESKTOP,1150,1,8.834364,24.0,,,0.08695652173913043
Google Ads,DESKTOP,76,2,0.18,0.0,,,2.631578947368421
Google Ads,DESKTOP,42,3,1.376228,3.0,,,7.142857142857142
Google Ads,DESKTOP,695,1,0.818098,26.0,,,0.14388489208633093
Google Ads,DESKTOP,693,1,2.055586,21.0,,,0.1443001443001443
Google Ads,DESKTOP,786,0,1.22909,19.0,,,0.0
Google Ads,DESKTOP,10,0,0.012338,0.0,,,0.0
Google Ads,DESKTOP,43,0,0.15904,0.0,,,0.0
Google Ads,DESKTOP,89,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,30,2,0.67,0.0,,,6.666666666666667
Google Ads,DESKTOP,1327,1,2.200827,30.0,,,0.07535795026375283
Google Ads,DESKTOP,5,0,0.014391,0.0,,,0.0
Google Ads,DESKTOP,13,0,0.029471,0.0,,,0.0
Google Ads,DESKTOP,8,0,0.023605,0.0,,,0.0
Google Ads,DESKTOP,58,1,0.022983,0.0,,,1.7241379310344827
Google Ads,DESKTOP,28,1,0.3,1.0,,,3.571428571428571
Google Ads,DESKTOP,3,0,0.001121,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.001155,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.001789,0.0,,,0.0
Google Ads,DESKTOP,1637,3,2.259807,28.0,,,0.1832620647525962
Google Ads,DESKTOP,1146,1,2.089877,56.0,,,0.08726003490401396
Google Ads,DESKTOP,16,0,0.062685,0.0,,,0.0
Google Ads,DESKTOP,46,0,0.119354,0.0,,,0.0
Google Ads,DESKTOP,11,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,867,1,1.508103,9.0,,,0.11534025374855825
Google Ads,DESKTOP,997,0,7.877473,30.0,,,0.0
Google Ads,DESKTOP,87,0,0.265909,0.0,,,0.0
Google Ads,DESKTOP,32,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,17,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,387,0,0.460275,15.0,,,0.0
Google Ads,DESKTOP,590,2,1.79339,18.0,,,0.3389830508474576
Google Ads,DESKTOP,551,1,0.765872,16.0,,,0.18148820326678766
Google Ads,DESKTOP,7,0,0.037752,0.0,,,0.0
Google Ads,DESKTOP,18,0,0.067896,0.0,,,0.0
Google Ads,DESKTOP,30,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,25,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,932,2,1.674039,29.0,,,0.2145922746781116
Google Ads,DESKTOP,8,0,0.030206,1.0,,,0.0
Google Ads,DESKTOP,3,0,0.012956,0.0,,,0.0
Google Ads,DESKTOP,32,0,0.056314,0.0,,,0.0
Google Ads,DESKTOP,17,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,16,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,6,0,0.004828,0.0,,,0.0
Google Ads,DESKTOP,750,2,1.113638,14.0,,,0.26666666666666666
Google Ads,DESKTOP,679,2,1.269914,44.0,,,0.29455081001472755
Google Ads,DESKTOP,14,0,0.054312,0.0,,,0.0
Google Ads,DESKTOP,99,0,0.189354,0.0,,,0.0
Google Ads,DESKTOP,15,1,1.31,0.0,,,6.666666666666667
Google Ads,DESKTOP,287,0,0.431828,4.0,,,0.0
Google Ads,DESKTOP,212,2,1.497986,6.0,,,0.9433962264150944
Google Ads,DESKTOP,76,0,0.187334,0.0,,,0.0
Google Ads,DESKTOP,34,1,0.08,0.0,,,2.941176470588235
Google Ads,DESKTOP,15,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,377,0,0.447507,14.0,,,0.0
Google Ads,DESKTOP,402,0,1.129545,15.0,,,0.0
Google Ads,DESKTOP,369,0,0.482647,11.0,,,0.0
Google Ads,DESKTOP,11,0,0.044741,0.0,,,0.0
Google Ads,DESKTOP,24,0,0.072803,0.0,,,0.0
Google Ads,DESKTOP,32,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,14,1,0.3,0.0,,,7.142857142857142
Google Ads,DESKTOP,670,0,1.153754,11.0,,,0.0
Google Ads,DESKTOP,21,0,0.051043,0.0,,,0.0
Google Ads,DESKTOP,13,0,0.050875,0.0,,,0.0
Google Ads,DESKTOP,15,0,0.030174,0.0,,,0.0
Google Ads,DESKTOP,30,2,0.323579,1.0,,,6.666666666666667
Google Ads,DESKTOP,5,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,1,0,0.000338,0.0,,,0.0
Google Ads,DESKTOP,621,0,0.783863,15.0,,,0.0
Google Ads,DESKTOP,559,1,0.913709,26.0,,,0.17889087656529518
Google Ads,DESKTOP,12,0,0.022041,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.001375,0.0,,,0.0
Google Ads,DESKTOP,158,0,0.342674,0.0,,,0.0
Google Ads,DESKTOP,7,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,139,0,0.184255,2.0,,,0.0
Google Ads,DESKTOP,237,2,1.08382,7.0,,,0.8438818565400843
Google Ads,DESKTOP,84,0,0.209032,0.0,,,0.0
Google Ads,DESKTOP,67,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,35,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,604,1,0.550896,23.0,,,0.16556291390728478
Google Ads,DESKTOP,1036,0,2.440865,43.0,,,0.0
Google Ads,DESKTOP,668,1,0.84764,10.0,,,0.14970059880239522
Google Ads,DESKTOP,20,0,0.037136,0.0,,,0.0
Google Ads,DESKTOP,41,0,0.058805,0.0,,,0.0
Google Ads,DESKTOP,86,3,0.49,0.0,,,3.488372093023256
Google Ads,DESKTOP,67,1,0.31,2.0,,,1.4925373134328357
Google Ads,DESKTOP,1085,2,1.741374,28.0,,,0.18433179723502305
Google Ads,DESKTOP,25,0,0.052433,0.0,,,0.0
Google Ads,DESKTOP,17,0,0.0667,0.0,,,0.0
Google Ads,DESKTOP,21,0,0.078461,0.0,,,0.0
Google Ads,DESKTOP,64,2,0.25,2.0,,,3.125
Google Ads,DESKTOP,36,3,0.44,4.0,,,8.333333333333332
Google Ads,DESKTOP,1,0,0.001596,0.0,,,0.0
