ano,semana,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2026,2,TikTok Ads,10,1,0.0,1.0,0.0,0.0,0.0,10.0
2026,3,Google Ads,3395168,84997,18117.714728,52215.258935,118.0,0.00651296268715596,0.34698122919497115,2.5034696368486036
2026,3,Meta Ads,9021525,11865,16168.27,8055.0,0.0,0.0,2.0072340161390443,0.13151878424102356
2026,3,TikTok Ads,92111,0,147.55,0.0,0.0,0.0,0.0,0.0
2026,4,Google Ads,1639151,35646,8414.041413,42319.535516,87.0,0.010339858782437395,0.1988216862592656,2.1746623709469106
2026,4,Meta Ads,5509218,8160,6794.7699999999995,3955.0,0.0,0.0,1.7180202275600505,0.14811539496168058
2026,4,TikTok Ads,125320,0,217.19,0.0,0.0,0.0,0.0,0.0
2026,5,Google Ads,1119402,30729,7021.402829,35017.839356,68.0,0.009684674367228219,0.20050931062932484,2.745126415711246
2026,5,Meta Ads,7615361,10686,9808.900000000001,5113.0,0.0,0.0,1.9184236260512422,0.14032164726005766
2026,5,TikTok Ads,230864,0,411.23,0.0,0.0,0.0,0.0,0.0
2026,6,Google Ads,3940460,60293,41409.421824,63153.205646,47.0,0.0011350073951711113,0.6556978604715181,1.5301005466366873
2026,6,Meta Ads,11369744,16873,14759.36,10034.0,0.0,0.0,1.4709348216065379,0.14840263773748996
2026,6,TikTok Ads,260875,0,503.62,0.0,0.0,0.0,0.0,0.0
2026,7,Google Ads,681442,26610,5148.4285500000005,26580.728436,32.0,0.006215488801918014,0.19369027310128756,3.9049544935592464
2026,7,Meta Ads,8401619,15448,11638.66,9293.0,0.0,0.0,1.2524114925212526,0.18386932328161987
2026,7,TikTok Ads,74373,0,127.53,0.0,0.0,0.0,0.0,0.0
2026,8,Google Ads,703920,23568,4021.122843,23041.257268,13.0,0.003232927843184521,0.17451837789184307,3.3481077395158545
2026,8,Meta Ads,6582278,15439,8875.130000000001,9822.0,0.0,0.0,0.9035970270820608,0.23455405560202716
2026,8,TikTok Ads,66867,0,107.89999999999999,0.0,0.0,0.0,0.0,0.0
2026,9,Google Ads,286369,18878,3290.309373,13945.978503999999,6.0,0.001823536731602047,0.23593248563062608,6.592193987477694
2026,9,Meta Ads,4792293,6366,6507.65,2937.0,0.0,0.0,2.215747361252979,0.13283828847693577
2026,9,TikTok Ads,14563,0,26.67,0.0,0.0,0.0,0.0,0.0
2026,10,Google Ads,352404,24868,3851.529084,15920.986095,1.0,0.0002596371410394366,0.24191523445960272,7.056673590538132
2026,10,Meta Ads,9513837,11591,13316.12,7132.0,0.0,0.0,1.8670947840717893,0.12183307323848412
2026,10,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
