data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-12-24,CS,CS,Meta Ads,245896,871,472.15,0.0,0.0,0.0,0.0,0.35421478999251715
2025-12-24,BS,BS,Meta Ads,67962,505,145.3,0.0,0.0,0.0,0.0,0.7430622995203201
2025-12-25,GERAL,GERAL,Google Ads,145832,2550,779.226059,3368.9775769999997,12.0,0.015399895654670348,0.23129452220750119,1.7485874156563719
2025-12-25,CS,CS,Meta Ads,293244,1332,429.86,0.0,0.0,0.0,0.0,0.4542292425420469
2025-12-25,BS,BS,Meta Ads,83952,735,143.51000000000002,0.0,0.0,0.0,0.0,0.8755002858776444
2025-12-25,NR,NR,Meta Ads,93979,519,113.72000000000001,0.0,0.0,0.0,0.0,0.5522510348056481
2025-12-25,NS,NS,Meta Ads,196574,1043,260.85,0.0,0.0,0.0,0.0,0.5305889893882202
2025-12-25,GS,GS,Meta Ads,147175,475,211.13,0.0,0.0,0.0,0.0,0.32274503142517413
2025-12-26,CS,CS,Meta Ads,297720,1217,409.56,0.0,0.0,0.0,0.0,0.4087733440816875
2025-12-26,GS,GS,Meta Ads,146246,441,198.26000000000002,0.0,0.0,0.0,0.0,0.301546708969818
2025-12-26,NS,NS,Meta Ads,186007,842,231.51,0.0,0.0,0.0,0.0,0.4526711360325149
2025-12-26,GERAL,GERAL,Google Ads,164669,2559,790.5327799999999,6477.958639,10.0,0.012649696828511022,0.12203424320134808,1.5540265623766465
2025-12-26,NR,NR,Meta Ads,91359,623,114.19000000000001,0.0,0.0,0.0,0.0,0.6819251524206701
2025-12-26,BS,BS,Meta Ads,79043,611,127.22999999999999,0.0,0.0,0.0,0.0,0.7729969763293397
2025-12-27,BS,BS,Meta Ads,84420,650,134.99,0.0,0.0,0.0,0.0,0.7699597251836058
2025-12-27,CS,CS,Meta Ads,370909,1253,512.48,0.0,0.0,0.0,0.0,0.33781871024968385
2025-12-27,GS,GS,Meta Ads,155325,437,218.44,0.0,0.0,0.0,0.0,0.28134556574923547
2025-12-27,NR,NR,Meta Ads,92332,622,118.44999999999999,0.0,0.0,0.0,0.0,0.6736559372698523
2025-12-27,NS,NS,Meta Ads,174213,900,228.61,0.0,0.0,0.0,0.0,0.5166089786640492
