localizacao,plataforma,impressoes,cliques,custo,conversoes,ctr,cpa
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,72,1,0.231175,0.0,1.3888888888888888,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,193,15,5.545802,11.0,7.772020725388601,0.5041638181818182
,Google Ads,3077,52,28.206068,203.0,1.6899577510562238,0.13894614778325123
,Google Ads,18649,17,51.425409,346.0,0.09115770282588878,0.14862834971098265
,Google Ads,621,91,64.542388,110.1875,14.653784219001611,0.5857505433919455
,Google Ads,105,7,7.52,7.3125,6.666666666666667,1.0283760683760683
,Google Ads,2740,1,9.111237,0.0,0.0364963503649635,0.0
,Google Ads,624,21,29.007161,34.0,3.3653846153846154,0.8531517941176471
,Google Ads,1135,30,10.50729,89.0,2.643171806167401,0.11805943820224718
,Google Ads,16281,8,46.584706,319.0,0.04913703089490818,0.14603356112852664
,Google Ads,41,14,11.190304,3.0,34.146341463414636,3.7301013333333333
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,36,6,4.830046,1.0,16.666666666666664,4.830046
,Google Ads,15,1,0.037968,0.0,6.666666666666667,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,1,0.44,0.0,50.0,0.0
,Google Ads,55,0,0.181483,2.0,0.0,0.0907415
,Google Ads,31,0,0.112216,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,76,0,0.248735,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,9,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,98,1,0.323529,6.0,1.0204081632653061,0.053921500000000004
,Google Ads,2,0,0.001001,0.0,0.0,0.0
,Google Ads,1,0,0.003298,0.0,0.0,0.0
,Google Ads,8,0,0.0294,0.0,0.0,0.0
,Google Ads,44,0,0.143282,0.0,0.0,0.0
,Google Ads,10,0,0.0,0.0,0.0,0.0
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,22,0,0.032819,0.0,0.0,0.0
,Google Ads,4,1,0.008878,0.0,25.0,0.0
,Google Ads,17,0,0.055758,0.0,0.0,0.0
,Google Ads,9,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,22,5,1.05,12.0,22.727272727272727,0.08750000000000001
,Google Ads,387,1,1.81315,22.0,0.2583979328165375,0.0824159090909091
,Google Ads,33,0,0.087335,0.0,0.0,0.0
,Google Ads,37,0,0.088863,0.0,0.0,0.0
,Google Ads,5,0,0.0,0.0,0.0,0.0
,Google Ads,26,0,0.084386,1.0,0.0,0.084386
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.040597,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,7,1,0.244568,1.0,14.285714285714285,0.244568
,Google Ads,26,0,0.195051,0.0,0.0,0.0
,Google Ads,71,10,10.997975,4.0,14.084507042253522,2.74949375
,Google Ads,122,9,4.105517,3.0,7.377049180327869,1.3685056666666666
,Google Ads,9,1,0.06,1.0,11.11111111111111,0.06
,Google Ads,30,0,0.123057,2.0,0.0,0.0615285
,Google Ads,1,0,0.003449,0.0,0.0,0.0
,Google Ads,146,0,0.288077,0.0,0.0,0.0
,Google Ads,14,1,0.48,3.0,7.142857142857142,0.16
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,5059,118,36.431478,361.0,2.332476774066021,0.10091822160664819
,Google Ads,17258,17,37.671171,311.0,0.09850504114034071,0.12112916720257236
,Google Ads,3996,7,12.690057,5.0,0.17517517517517517,2.5380114
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,377,51,32.695482,62.0,13.527851458885943,0.5273464838709677
,Google Ads,116,17,17.685823,19.0,14.655172413793101,0.9308327894736842
,Google Ads,1,1,1.196642,1.0,100.0,1.196642
,Google Ads,2,0,0.010694,0.0,0.0,0.0
,Google Ads,44,0,0.25871,0.0,0.0,0.0
,Google Ads,4,0,0.011055,0.0,0.0,0.0
,Google Ads,10,0,0.015208,0.0,0.0,0.0
,Google Ads,13,3,2.134902,1.0,23.076923076923077,2.134902
,Google Ads,65,2,1.453071,1.0,3.076923076923077,1.453071
,Google Ads,3,0,0.015337,0.0,0.0,0.0
,Google Ads,26,0,0.078805,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.004607,0.0,0.0,0.0
,Google Ads,1,0,0.003049,0.0,0.0,0.0
,Google Ads,6,2,0.27846,1.0,33.33333333333333,0.27846
,Google Ads,10,0,0.0,0.0,0.0,0.0
,Google Ads,11,0,0.0,0.0,0.0,0.0
,Google Ads,5,2,2.169203,1.0,40.0,2.169203
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,15,0,0.038021,0.0,0.0,0.0
,Google Ads,42,1,0.123722,0.0,2.380952380952381,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,7,0,0.02179,0.0,0.0,0.0
,Google Ads,159,0,0.519427,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,55,1,0.774005,0.0,1.8181818181818181,0.0
,Google Ads,6,0,0.01727,0.0,0.0,0.0
,Google Ads,19,0,0.034083,0.0,0.0,0.0
,Google Ads,9,1,1.38,1.0,11.11111111111111,1.38
,Google Ads,7,2,0.94,2.0,28.57142857142857,0.47
,Google Ads,819,1,2.550943,0.0,0.1221001221001221,0.0
,Google Ads,15,0,0.000781,0.0,0.0,0.0
,Google Ads,1,0,0.004359,0.0,0.0,0.0
,Google Ads,2,0,0.004482,0.0,0.0,0.0
,Google Ads,4,0,0.02132,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,8,0,0.033987,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,15,0,0.016236,0.0,0.0,0.0
,Google Ads,80,8,0.8,5.666667,10.0,0.1411764622837375
,Google Ads,8,4,0.85,3.0,50.0,0.2833333333333333
,Google Ads,183,3,0.817593,6.0,1.639344262295082,0.1362655
,Google Ads,1888,0,3.233446,79.0,0.0,0.040929696202531646
,Google Ads,186,0,0.599937,0.0,0.0,0.0
,Google Ads,204,0,0.630844,1.0,0.0,0.630844
,Google Ads,16,1,0.612291,1.0,6.25,0.612291
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,147,0,0.499961,0.0,0.0,0.0
,Google Ads,10,2,1.3,2.0,20.0,0.65
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,58,4,3.275389,15.0,6.896551724137931,0.21835926666666666
,Google Ads,16,0,0.040831,0.0,0.0,0.0
,Google Ads,16,0,0.030448,0.0,0.0,0.0
,Google Ads,48,0,0.139842,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,25,0,0.067832,0.0,0.0,0.0
,Google Ads,31,0,0.100773,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,4,1,0.35,0.0,25.0,0.0
,Google Ads,18,0,0.064854,0.0,0.0,0.0
,Google Ads,35,0,0.095125,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,16,1,0.13,1.0,6.25,0.13
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,1,0.694623,0.0,50.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,14,0,0.032355,0.0,0.0,0.0
,Google Ads,83,0,0.238877,0.0,0.0,0.0
,Google Ads,8,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,77,0,0.168032,2.0,0.0,0.084016
,Google Ads,66,0,0.204941,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,20,0,0.061569,1.0,0.0,0.061569
,Google Ads,5,0,0.008752,0.0,0.0,0.0
,Google Ads,30,0,0.063751,0.0,0.0,0.0
,Google Ads,14,3,1.565352,1.0,21.428571428571427,1.565352
,Google Ads,49,3,0.241764,2.0,6.122448979591836,0.120882
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,14,0,0.00163,0.0,0.0,0.0
,Google Ads,11,0,0.0,0.0,0.0,0.0
,Google Ads,10,1,0.19,2.0,10.0,0.095
,Google Ads,5,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.005674,1.0,0.0,0.005674
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,666,0,2.022885,0.0,0.0,0.0
,Google Ads,739,0,2.037412,0.0,0.0,0.0
,Google Ads,27,3,1.2,1.0,11.11111111111111,1.2
,Google Ads,13,3,1.74,6.0,23.076923076923077,0.29
,Google Ads,729,1,2.194859,0.0,0.1371742112482853,0.0
,Google Ads,12,0,0.044918,0.0,0.0,0.0
,Google Ads,27,2,1.19,2.0,7.4074074074074066,0.595
,Google Ads,34,7,2.62,2.0,20.588235294117645,1.31
,Google Ads,12,1,0.787594,1.0,8.333333333333332,0.787594
,Google Ads,17,0,0.034426,0.0,0.0,0.0
,Google Ads,8,0,0.004488,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,16,1,1.52028,0.0,6.25,0.0
,Google Ads,4,0,0.00628,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,14,2,3.72,4.0,14.285714285714285,0.93
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,20,5,1.675104,4.0,25.0,0.418776
,Google Ads,4,0,0.019269,0.0,0.0,0.0
,Google Ads,174,27,5.745223,35.0,15.517241379310345,0.16414922857142858
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1010,11,5.814833,55.0,1.089108910891089,0.10572423636363637
,Google Ads,1770,0,3.708035,62.0,0.0,0.05980701612903226
,Google Ads,268,0,0.777707,1.0,0.0,0.777707
,Google Ads,180,1,0.545885,0.0,0.5555555555555556,0.0
,Google Ads,12,1,0.36,1.0,8.333333333333332,0.36
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,173,2,0.518572,0.0,1.1560693641618496,0.0
,Google Ads,12,1,1.35,0.0,8.333333333333332,0.0
,Google Ads,1,1,0.15,0.0,100.0,0.0
,Google Ads,166,4,0.666465,0.0,2.4096385542168677,0.0
,Google Ads,56,0,0.130644,0.0,0.0,0.0
,Google Ads,34,0,0.11373,0.0,0.0,0.0
,Google Ads,124,1,0.612607,0.0,0.8064516129032258,0.0
,Google Ads,1,1,0.5,3.0,100.0,0.16666666666666666
,Google Ads,4,0,0.002018,0.0,0.0,0.0
,Google Ads,2,0,0.003816,0.0,0.0,0.0
,Google Ads,90,1,0.541119,1.0,1.1111111111111112,0.541119
,Google Ads,7,1,0.66,0.0,14.285714285714285,0.0
,Google Ads,57,0,0.201568,0.0,0.0,0.0
,Google Ads,36,0,0.027317,0.0,0.0,0.0
,Google Ads,3,0,0.016738,0.0,0.0,0.0
,Google Ads,121,0,0.326097,0.0,0.0,0.0
,Google Ads,3,2,0.994377,1.0,66.66666666666666,0.994377
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,9,0,0.012322,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,53,0,0.183619,0.0,0.0,0.0
,Google Ads,12,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.00408,0.0,0.0,0.0
,Google Ads,3,2,2.035113,1.0,66.66666666666666,2.035113
,Google Ads,2,0,0.004443,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,27,0,0.095641,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,11,2,0.925852,2.0,18.181818181818183,0.462926
,Google Ads,4,0,0.003966,0.0,0.0,0.0
,Google Ads,5,0,0.0,0.0,0.0,0.0
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,4,0,0.03584,0.0,0.0,0.0
,Google Ads,65,0,0.105533,0.0,0.0,0.0
,Google Ads,238,0,0.547953,0.0,0.0,0.0
,Google Ads,175,0,0.405156,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,88,0,0.30453,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,13,2,2.236219,1.0,15.384615384615385,2.236219
,Google Ads,31,0,0.008731,0.0,0.0,0.0
,Google Ads,21,1,10.143168,4.0,4.761904761904762,2.535792
,Google Ads,36,0,0.008956,0.0,0.0,0.0
,Google Ads,31,0,0.157472,3.0,0.0,0.052490666666666665
,Google Ads,167,0,0.361159,3.0,0.0,0.12038633333333333
,Google Ads,21,0,0.14046,0.0,0.0,0.0
,Google Ads,2,0,0.010496,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,8,2,2.247835,1.0,25.0,2.247835
,Google Ads,1,1,0.927061,1.0,100.0,0.927061
,Google Ads,58,0,0.15851,0.0,0.0,0.0
,Google Ads,6,3,1.07,3.0,50.0,0.3566666666666667
,Google Ads,45,0,0.152298,0.0,0.0,0.0
,Google Ads,57,0,0.178247,0.0,0.0,0.0
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.00496,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.007229,0.0,0.0,0.0
,Google Ads,45,0,0.144065,0.0,0.0,0.0
,Google Ads,1,1,0.26,0.0,100.0,0.0
,Google Ads,18,4,1.359539,4.0,22.22222222222222,0.33988475
,Google Ads,2,1,0.818955,0.0,50.0,0.0
,Google Ads,11,3,0.754907,2.0,27.27272727272727,0.3774535
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,10,3,1.038313,2.0,30.0,0.5191565
,Google Ads,3,0,0.014188,0.0,0.0,0.0
,Google Ads,183,0,0.308485,7.0,0.0,0.044069285714285714
,Google Ads,31,0,0.084712,0.0,0.0,0.0
,Google Ads,156,0,0.429107,0.0,0.0,0.0
,Google Ads,2,2,0.1,1.0,100.0,0.1
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,133,0,0.438868,0.0,0.0,0.0
,Google Ads,13,1,0.219232,0.0,7.6923076923076925,0.0
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,29,1,0.865918,0.0,3.4482758620689653,0.0
,Google Ads,37,0,0.005387,0.0,0.0,0.0
,Google Ads,24,0,0.138087,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.003271,1.0,0.0,0.003271
,Google Ads,51,0,0.107178,2.0,0.0,0.053589
,Google Ads,53,0,0.356005,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,4,0,0.007694,0.0,0.0,0.0
,Google Ads,13,2,1.261361,1.0,15.384615384615385,1.261361
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,5,1,0.16336,0.0,20.0,0.0
,Google Ads,61,0,0.17474,0.0,0.0,0.0
,Google Ads,38,0,0.077853,0.0,0.0,0.0
,Google Ads,29,0,0.112641,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,5,0,0.005895,0.0,0.0,0.0
,Google Ads,5,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,1,1,0.01,1.0,100.0,0.01
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.010779,0.0,0.0,0.0
,Google Ads,25,0,0.08116,0.0,0.0,0.0
,Google Ads,15,0,0.042094,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,7,0,0.019194,1.0,0.0,0.019194
,Google Ads,14,3,2.774436,2.0,21.428571428571427,1.387218
,Google Ads,2,0,0.012742,0.0,0.0,0.0
,Google Ads,60,0,0.089955,1.0,0.0,0.089955
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,5,0,0.0,0.0,0.0,0.0
,Google Ads,254,3,0.782748,0.0,1.1811023622047243,0.0
,Google Ads,10,0,0.002433,0.0,0.0,0.0
,Google Ads,1,0,0.008714,0.0,0.0,0.0
,Google Ads,47,0,0.091351,0.0,0.0,0.0
,Google Ads,17,1,1.032456,0.0,5.88235294117647,0.0
,Google Ads,28,2,2.126101,1.0,7.142857142857142,2.126101
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,21,2,0.412688,0.0,9.523809523809524,0.0
,Google Ads,1,0,0.001815,0.0,0.0,0.0
,Google Ads,750,1,2.272023,1.0,0.13333333333333333,2.272023
,Google Ads,70,7,3.275585,10.0,10.0,0.3275585
,Google Ads,14,2,0.93,3.0,14.285714285714285,0.31
,Google Ads,449,0,1.342621,0.0,0.0,0.0
,Google Ads,1027,0,3.34266,0.0,0.0,0.0
,Google Ads,74,6,2.409888,7.0,8.108108108108109,0.3442697142857143
,Google Ads,7,2,1.75,1.0,28.57142857142857,1.75
,Google Ads,41,5,4.448857,8.0,12.195121951219512,0.556107125
,Google Ads,14,0,0.0,0.0,0.0,0.0
,Google Ads,12,1,2.229418,0.0,8.333333333333332,0.0
,Google Ads,15,0,0.003443,0.0,0.0,0.0
,Google Ads,18,1,1.877306,1.0,5.555555555555555,1.877306
,Google Ads,16,0,0.052697,0.0,0.0,0.0
,Google Ads,1,0,0.002634,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.009808,1.0,0.0,0.009808
,Google Ads,141,0,0.309458,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,105,0,0.283563,0.0,0.0,0.0
,Google Ads,25,1,4.045376,0.0,4.0,0.0
,Google Ads,1,0,0.005844,0.0,0.0,0.0
,Google Ads,466,1,1.274442,6.0,0.2145922746781116,0.212407
,Google Ads,28,5,1.867759,2.0,17.857142857142858,0.9338795
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,12,5,1.226251,3.0,41.66666666666667,0.4087503333333333
,Google Ads,46,2,1.48,2.0,4.3478260869565215,0.74
,Google Ads,1101,3,4.090994,1.0,0.2724795640326975,4.090994
,Google Ads,250,6,8.705926,1.0,2.4,8.705926
,Google Ads,1143,10,4.379792,27.0,0.8748906386701663,0.16221451851851854
,Google Ads,5051,1,8.21863,71.0,0.019798059790140567,0.11575535211267604
,Google Ads,1500,0,4.018484,2.0,0.0,2.009242
,Google Ads,95,1,0.6,0.0,1.0526315789473684,0.0
,Google Ads,18,1,0.41,0.0,5.555555555555555,0.0
,Google Ads,485,1,1.67212,10.0,0.2061855670103093,0.167212
,Google Ads,43,2,0.285658,0.0,4.651162790697675,0.0
,Google Ads,2,0,0.005654,0.0,0.0,0.0
,Google Ads,3,0,0.006661,0.0,0.0,0.0
,Google Ads,2,0,0.007856,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,6,2,0.21548,2.0,33.33333333333333,0.10774
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,201,0,0.307759,1.0,0.0,0.307759
,Google Ads,29,0,0.068885,0.0,0.0,0.0
,Google Ads,62,0,0.205358,0.0,0.0,0.0
,Google Ads,14,4,1.5,4.0,28.57142857142857,0.375
,Google Ads,7,0,0.0,0.0,0.0,0.0
,Google Ads,59,0,0.208877,0.0,0.0,0.0
,Google Ads,3,0,0.012738,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,60,17,16.508175,20.0,28.333333333333332,0.82540875
,Google Ads,13,0,0.09584,0.0,0.0,0.0
,Google Ads,33,0,0.024966,0.0,0.0,0.0
,Google Ads,11,0,0.005255,0.0,0.0,0.0
,Google Ads,26,0,0.049931,1.0,0.0,0.049931
,Google Ads,2,0,0.016833,0.0,0.0,0.0
,Google Ads,1,1,0.005833,0.0,100.0,0.0
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,7,1,0.24,0.0,14.285714285714285,0.0
,Google Ads,15,2,0.41,0.0,13.333333333333334,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.00637,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,228,1,0.395442,0.0,0.43859649122807015,0.0
,Google Ads,144,0,0.24424,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,132,0,0.439336,0.0,0.0,0.0
,Google Ads,92,0,0.274248,1.0,0.0,0.274248
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,5,1,0.795225,0.0,20.0,0.0
,Google Ads,6,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,2,2,1.44,4.0,100.0,0.36
,Google Ads,89,0,0.308678,0.0,0.0,0.0
,Google Ads,16,0,0.0,0.0,0.0,0.0
,Google Ads,60,2,0.142603,2.0,3.3333333333333335,0.0713015
,Google Ads,2,1,0.26,1.0,50.0,0.26
,Google Ads,125,0,0.370013,0.0,0.0,0.0
,Google Ads,11,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,8,0,0.015229,0.0,0.0,0.0
,Google Ads,7,0,0.020788,0.0,0.0,0.0
,Google Ads,1,1,0.66,0.0,100.0,0.0
,Google Ads,2,0,0.007068,0.0,0.0,0.0
,Google Ads,21,0,0.053666,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,20,2,0.79523,0.0,10.0,0.0
,Google Ads,124,1,0.416231,1.0,0.8064516129032258,0.416231
,Google Ads,6,1,1.097862,0.0,16.666666666666664,0.0
,Google Ads,10,0,0.0,0.0,0.0,0.0
,Google Ads,153,0,0.450886,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,2,0,0.0,0.0,0.0,0.0
,Google Ads,6,0,0.012116,0.0,0.0,0.0
,Google Ads,7,0,0.018358,0.0,0.0,0.0
,Google Ads,217,0,0.675665,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,6,2,1.4,1.0,33.33333333333333,1.4
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,49,0,0.171945,0.0,0.0,0.0
,Google Ads,54,2,4.044084,3.0,3.7037037037037033,1.348028
,Google Ads,66,0,0.189029,2.0,0.0,0.0945145
,Google Ads,184,0,0.386949,4.0,0.0,0.09673725
,Google Ads,65,0,0.182739,0.0,0.0,0.0
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,4,0,0.0,0.0,0.0,0.0
,Google Ads,10,0,0.019613,0.0,0.0,0.0
,Google Ads,4,0,0.018233,0.0,0.0,0.0
,Google Ads,1,0,0.00169,0.0,0.0,0.0
,Google Ads,2,1,0.078397,0.0,50.0,0.0
,Google Ads,2,0,0.005712,0.0,0.0,0.0
,Google Ads,3,0,0.011213,0.0,0.0,0.0
,Google Ads,7,0,0.023136,0.0,0.0,0.0
