campaign_id,stat_time_day,video_views_p75,video_views_p50,average_video_play_per_user,video_watched_2s,video_watched_6s,video_views_p25,total_complete_payment_rate,cost_per_conversion,engaged_view,clicks,conversion_rate,impressions,cpc,engaged_view_15s,video_views_p100,video_play_actions,ctr,average_video_play,conversion,spend,cpm,shopping,shopping_sigla,campaign_name,objective_type
1866441986593986,2026-06-12 00:00:00,9,20,1.36,827,140,48,0.0,0.0,152,20,0.0,12169,1.18,44,4,12087,0.16,1.12,0,23.63,1.94,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866441986593986,2026-06-02 00:00:00,28,45,1.22,985,174,128,0.0,0.0,188,36,0.0,15296,0.9,67,20,15165,0.24,1.21,0,32.33,2.11,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1863928955315249,2026-05-31 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451636143266,2026-06-12 00:00:00,340,645,25.06,2242,2113,1836,0.0,0.0,3050,1181,0.0,5321,0.02,1598,245,4698,22.2,6.91,0,22.5,4.23,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1863928955315249,2026-05-21 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451636143266,2026-06-05 00:00:00,525,1013,33.6,3095,2926,2685,0.0,0.0,4303,1688,0.0,5425,0.02,2412,375,5043,31.12,9.22,0,27.94,5.15,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1863928955315249,2026-05-27 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1863928955315249,2026-05-17 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451828239378,2026-06-05 00:00:00,38,73,1.11,506,102,196,0.0,0.0,104,0,0.0,7279,0.0,31,28,7243,0.0,1.1,0,12.27,1.69,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1863928955315249,2026-05-24 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451828239378,2026-06-08 00:00:00,29,55,1.09,494,76,158,0.0,0.0,80,0,0.0,7350,0.0,25,20,7296,0.0,1.09,0,11.9,1.62,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451828239378,2026-05-29 00:00:00,33,78,1.13,522,106,204,0.0,0.0,112,0,0.0,6999,0.0,32,22,6989,0.0,1.11,0,13.41,1.92,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1863928702907457,2026-05-19 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1866441986593986,2026-06-05 00:00:00,25,41,1.35,1215,181,99,0.0,0.0,192,39,0.0,16830,0.8,69,15,16739,0.23,1.16,0,31.17,1.85,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-02 00:00:00,43,69,1.09,460,91,169,0.0,0.0,94,0,0.0,7069,0.0,30,24,7017,0.0,1.09,0,12.85,1.82,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866441986593986,2026-06-08 00:00:00,10,21,1.48,1289,197,61,0.0,0.0,210,31,0.0,15610,0.92,60,7,15486,0.2,1.19,0,28.46,1.82,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-12 00:00:00,26,52,1.17,382,69,154,0.0,0.0,73,0,0.0,6298,0.0,20,16,6267,0.0,1.16,0,11.71,1.86,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866441986593986,2026-05-29 00:00:00,20,31,1.22,985,143,101,0.0,0.0,153,28,0.0,15846,1.21,47,15,15761,0.18,1.21,0,33.81,2.13,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451636143266,2026-06-08 00:00:00,330,679,30.05,2721,2562,2193,0.0,0.0,3737,1519,0.0,5279,0.02,1884,224,4799,28.77,7.82,0,27.33,5.18,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451636143266,2026-05-29 00:00:00,429,876,25.34,2965,2849,2597,0.0,0.0,3955,1354,0.0,5693,0.03,1988,301,5173,23.78,8.32,0,36.6,6.43,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
