stat_time_day,campaign_id,impressions,total_complete_payment_rate,shares,follows,clicks_on_music_disc,cpm,conversion,conversion_rate,cpc,profile_visits,likes,clicks,ctr,spend,cost_per_conversion,comments,shopping,shopping_sigla,campaign_name,objective_type
2025-03-27 00:00:00,1827046369261585,10148,0.0,1,6,0,4.76,0,0.0,48.28,32,59,1,0.01,48.28,0.0,2,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-03 00:00:00,1827046369261585,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-03 00:00:00,1824314134904865,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ENG - Carnaval,ENGAGEMENT
2025-03-31 00:00:00,1823040324441121,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
2025-04-15 00:00:00,1828407150156946,5452,0.0,0,0,0,1.63,0,0.0,0.0,15,5,0,0.0,8.86,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-03-30 00:00:00,1827046369261585,11378,0.0,0,6,0,4.52,0,0.0,17.16,38,59,3,0.03,51.47,0.0,2,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-02 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-03-25 00:00:00,1827595524859954,6263,0.0,0,3,0,2.08,0,0.0,0.0,13,10,0,0.0,13.05,0.0,2,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-03-29 00:00:00,1827595014894625,2247,0.0,0,8,0,10.47,0,0.0,0.0,7,36,0,0.0,23.53,0.0,1,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-04-01 00:00:00,1827595524859954,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-17 00:00:00,1828314519850002,5107,0.0,0,1,0,1.55,0,0.0,0.0,9,9,0,0.0,7.93,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-03 00:00:00,1828407150156946,3200,0.0,1,0,0,1.21,0,0.0,0.0,2,5,0,0.0,3.88,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-03 00:00:00,1828314519850002,6703,0.0,0,2,0,1.33,0,0.0,0.0,13,17,0,0.0,8.93,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-16 00:00:00,1828407150156946,5197,0.0,0,4,0,1.67,0,0.0,0.0,7,2,0,0.0,8.67,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-10 00:00:00,1828314519850002,5492,0.0,0,1,0,1.49,0,0.0,0.0,5,11,0,0.0,8.16,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-11 00:00:00,1828314519850002,5371,0.0,0,0,0,1.52,0,0.0,0.0,11,12,0,0.0,8.16,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-31 00:00:00,1827595524859954,4567,0.0,0,1,0,3.12,0,0.0,0.0,11,2,0,0.0,14.26,0.0,1,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-17 00:00:00,1828407150156946,5971,0.0,2,0,0,1.54,0,0.0,0.0,8,4,0,0.0,9.2,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-04 00:00:00,1828407150156946,6913,0.0,5,1,0,1.41,0,0.0,0.0,6,8,0,0.0,9.73,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-01 00:00:00,1826392596491314,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Outback ,REACH
2025-04-05 00:00:00,1827046369261585,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-03-30 00:00:00,1827595014894625,2145,0.0,1,10,0,10.45,0,0.0,0.0,1,26,0,0.0,22.42,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-04-01 00:00:00,1820714949888002,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach | Space park ,REACH
2025-04-04 00:00:00,1828314519850002,6313,0.0,2,1,0,1.49,0,0.0,0.0,10,15,0,0.0,9.43,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-29 00:00:00,1827046369261585,11671,0.0,0,8,0,5.16,0,0.0,60.2,38,59,1,0.01,60.2,0.0,2,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-01 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-04-10 00:00:00,1828407150156946,5965,0.0,1,0,0,1.5,0,0.0,0.0,10,9,0,0.0,8.96,0.0,1,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-03-29 00:00:00,1826236413448242,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | St Patricks Festival,REACH
2025-03-25 00:00:00,1827046369261585,12810,0.0,4,4,0,4.43,0,0.0,0.0,46,65,0,0.0,56.79,0.0,4,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-03-30 00:00:00,1827595524859954,11776,0.0,0,4,0,2.94,0,0.0,0.0,29,29,0,0.0,34.63,0.0,0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-03 00:00:00,1827595014894625,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-04-02 00:00:00,1823040324441121,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
2025-04-12 00:00:00,1828314519850002,5469,0.0,1,1,0,1.49,0,0.0,0.0,15,14,0,0.0,8.15,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-18 00:00:00,1828407150156946,6358,0.0,0,1,0,1.43,0,0.0,0.0,10,12,0,0.0,9.11,0.0,1,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-11 00:00:00,1828407150156946,6068,0.0,0,1,0,1.43,0,0.0,0.0,11,8,0,0.0,8.68,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-18 00:00:00,1828314519850002,5226,0.0,0,0,0,1.48,0,0.0,0.0,13,9,0,0.0,7.76,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-27 00:00:00,1823040324441121,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
2025-03-28 00:00:00,1827595014894625,1972,0.0,4,6,0,9.05,0,0.0,0.0,5,35,0,0.0,17.84,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-03-31 00:00:00,1821235597787186,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interações com a comunidade - Jan 25,ENGAGEMENT
2025-04-01 00:00:00,1822522215426082,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Musical Lilo Stich,REACH
2025-04-05 00:00:00,1828314519850002,6507,0.0,3,0,0,1.44,0,0.0,0.0,8,18,0,0.0,9.37,0.0,1,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-06 00:00:00,1828314519850002,6664,0.0,0,3,0,1.39,0,0.0,0.0,15,18,0,0.0,9.23,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-05 00:00:00,1827595524859954,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-19 00:00:00,1828407150156946,5994,0.0,0,0,0,1.44,0,0.0,0.0,11,3,0,0.0,8.63,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-03 00:00:00,1823040324441121,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
2025-04-12 00:00:00,1828407150156946,6375,0.0,0,0,0,1.39,0,0.0,0.0,16,7,0,0.0,8.87,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-03 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-03-31 00:00:00,1827046369261585,4035,0.0,0,4,0,4.67,0,0.0,0.0,11,24,0,0.0,18.85,0.0,2,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-19 00:00:00,1828314519850002,5042,0.0,0,3,0,1.47,0,0.0,0.0,12,6,0,0.0,7.42,0.0,1,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-24 00:00:00,1827046369261585,13957,0.0,2,6,0,4.1,0,0.0,19.05,42,73,3,0.02,57.16,0.0,2,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-05 00:00:00,1828407150156946,7218,0.0,0,2,0,1.38,0,0.0,0.0,13,9,0,0.0,9.97,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-03-29 00:00:00,1827595524859954,13299,0.0,0,3,0,2.91,0,0.0,0.0,27,30,0,0.0,38.67,0.0,1,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-01 00:00:00,1821235597787186,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interações com a comunidade - Jan 25,ENGAGEMENT
2025-05-17 00:00:00,1832195984469169,5563,0.0,0,1,0,1.43,0,0.0,0.0,12,9,0,0.0,7.94,0.0,1,Nacoes Shopping,NS,ALC - Boliche,REACH
2025-05-01 00:00:00,1830747281548321,2196,0.0,2,24,0,4.5,0,0.0,0.0,12,38,0,0.0,9.89,0.0,0,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
2025-05-09 00:00:00,1830745925410866,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Promo mães,REACH
2025-05-20 00:00:00,1832310190695458,5016,0.0,2,1,0,1.55,0,0.0,0.0,15,18,0,0.0,7.79,0.0,0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
2025-05-19 00:00:00,1831563577497601,31489,0.0,1,8,0,2.31,0,0.0,0.93,9,64,78,0.25,72.78,0.0,1,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-05-09 00:00:00,1831563577497601,34746,0.0,0,3,0,2.09,0,0.0,1.25,12,14,58,0.17,72.64,0.0,0,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-05-22 00:00:00,1831563577497601,32782,0.0,0,8,0,2.21,0,0.0,1.51,5,30,48,0.15,72.48,0.0,1,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-05-12 00:00:00,1831563577497601,31023,0.0,0,1,0,2.35,0,0.0,1.49,26,31,49,0.16,72.85,0.0,0,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-04-27 00:00:00,1828314519850002,3035,0.0,0,0,0,1.41,0,0.0,0.0,1,4,0,0.0,4.29,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-05-16 00:00:00,1832195369412610,47206,0.0,21,19,0,2.19,0,0.0,0.0,111,143,0,0.0,103.4,0.0,2,Nacoes Shopping,NS,Reach - show beatles,REACH
2025-04-30 00:00:00,1830746252922946,5255,0.0,6,3,0,2.18,0,0.0,0.52,3,20,22,0.42,11.45,0.0,1,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
2025-04-23 00:00:00,1828407150156946,5240,0.0,2,0,0,1.62,0,0.0,0.0,6,4,0,0.0,8.47,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-05-19 00:00:00,1832195369412610,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - show beatles,REACH
2025-05-16 00:00:00,1831563577497601,33693,0.0,0,6,0,2.14,0,0.0,1.05,15,38,69,0.2,72.23,0.0,0,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-04-26 00:00:00,1828407150156946,5263,0.0,0,2,0,1.56,0,0.0,0.0,9,8,0,0.0,8.2,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-05-12 00:00:00,1830745925410866,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Promo mães,REACH
2025-05-04 00:00:00,1830746252922946,7107,0.0,6,1,0,1.65,0,0.0,0.34,1,31,35,0.49,11.74,0.0,0,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
2025-05-07 00:00:00,1830746252922946,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
2025-05-16 00:00:00,1832310190695458,2136,0.0,0,0,0,1.33,0,0.0,0.0,4,10,0,0.0,2.84,0.0,0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
2025-05-01 00:00:00,1830746252922946,6007,0.0,7,2,0,1.97,0,0.0,0.44,3,17,27,0.45,11.83,0.0,1,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
2025-05-15 00:00:00,1826236413448242,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | St Patricks Festival,REACH
2025-05-08 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-04-24 00:00:00,1828407150156946,4880,0.0,0,0,0,1.61,0,0.0,0.0,3,4,0,0.0,7.87,0.0,1,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-05-18 00:00:00,1832195984469169,5649,0.0,0,2,0,1.36,0,0.0,0.0,25,12,0,0.0,7.66,0.0,2,Nacoes Shopping,NS,ALC - Boliche,REACH
2025-05-22 00:00:00,1832195369412610,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - show beatles,REACH
2025-05-07 00:00:00,1828407150156946,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-27 00:00:00,1828407150156946,5353,0.0,0,0,0,1.43,0,0.0,0.0,7,3,0,0.0,7.63,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-05-19 00:00:00,1832310190695458,5219,0.0,0,1,0,1.47,0,0.0,0.0,8,18,0,0.0,7.67,0.0,0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
2025-05-21 00:00:00,1832195984469169,4357,0.0,1,1,0,1.56,0,0.0,0.0,15,10,0,0.0,6.79,0.0,1,Nacoes Shopping,NS,ALC - Boliche,REACH
2025-05-15 00:00:00,1832195369412610,33208,0.0,16,19,0,2.06,0,0.0,0.0,107,163,0,0.0,68.36,0.0,8,Nacoes Shopping,NS,Reach - show beatles,REACH
2025-05-13 00:00:00,1831563577497601,30681,0.0,1,6,0,2.38,0,0.0,1.32,13,43,55,0.18,72.87,0.0,3,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-04-30 00:00:00,1830747281548321,1888,0.0,0,36,0,6.32,0,0.0,0.0,12,52,0,0.0,11.94,0.0,0,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
