stat_time_day,engaged_view_15s,engaged_view,profile_visits,spend,ctr,video_watched_6s,video_views_p75,cost_per_conversion,average_video_play,video_watched_2s,conversion_rate,video_views_p100,total_complete_payment_rate,video_play_actions,clicks,video_views_p25,cpm,cpc,video_views_p50,comments,conversion,impressions,shares,follows,clicks_on_music_disc,likes,average_video_play_per_user,shopping,shopping_sigla
2025-07-12 00:00:00,310,848,34,47.25,0.0,859,127,0.0,1.69,3299,0.0,74,0.0,24572,0,530,1.91,0.0,219,4,0,24686,0,1,0,33,2.56,Nacoes Shopping,NS
2025-07-07 00:00:00,321,836,41,49.92,0.0,836,135,0.0,1.55,3361,0.0,77,0.0,25954,0,512,1.91,0.0,233,1,0,26090,3,4,0,35,2.69,Nacoes Shopping,NS
2025-07-02 00:00:00,178,471,32,26.8,0.0,469,75,0.0,1.46,1760,0.0,30,0.0,14928,0,280,1.79,0.0,118,0,0,15002,2,3,0,27,2.27,Nacoes Shopping,NS
2025-08-02 00:00:00,277,824,44,40.26,0.0,832,145,0.0,1.59,2795,0.0,70,0.0,21124,0,598,1.9,0.0,242,5,0,21205,0,1,0,34,2.7,Nacoes Shopping,NS
2025-07-28 00:00:00,255,682,47,59.58,0.0,677,102,0.0,1.47,2855,0.0,64,0.0,27756,0,327,2.14,0.0,161,1,0,27894,1,6,0,45,2.7,Nacoes Shopping,NS
2025-07-23 00:00:00,380,1042,69,88.03,0.0,1037,142,0.0,1.46,4306,0.0,81,0.0,38993,0,510,2.25,0.0,226,3,0,39206,1,15,0,74,3.12,Nacoes Shopping,NS
2025-07-18 00:00:00,700,1821,123,155.6,0.0,1818,346,0.0,1.51,7517,0.0,207,0.0,65547,0,1266,2.36,0.0,574,4,0,65910,5,22,0,140,3.51,Nacoes Shopping,NS
2025-07-13 00:00:00,318,866,56,46.25,0.0,864,135,0.0,1.56,3321,0.0,80,0.0,24421,0,509,1.88,0.0,226,1,0,24549,1,7,0,40,2.28,Nacoes Shopping,NS
2025-08-07 00:00:00,153,445,35,37.44,0.0,439,82,0.0,1.36,1872,0.0,46,0.0,18097,0,293,2.06,0.0,126,1,0,18197,0,6,0,20,2.13,Nacoes Shopping,NS
2025-08-10 00:00:00,145,460,38,37.09,0.0,470,80,0.0,1.35,1886,0.0,44,0.0,17968,0,300,2.05,0.0,118,1,0,18072,0,7,0,20,2.04,Nacoes Shopping,NS
2025-08-05 00:00:00,233,732,34,35.98,0.0,740,134,0.0,1.64,2549,0.0,77,0.0,17504,0,531,2.04,0.0,207,6,0,17605,1,3,0,23,2.61,Nacoes Shopping,NS
2025-07-31 00:00:00,175,542,38,33.19,0.0,545,86,0.0,1.51,1830,0.0,40,0.0,15049,0,356,2.2,0.0,143,2,0,15120,1,3,0,31,3.21,Nacoes Shopping,NS
2025-07-26 00:00:00,310,849,59,77.43,0.0,844,102,0.0,1.61,3655,0.0,65,0.0,32030,0,419,2.41,0.0,185,2,0,32185,1,7,0,50,3.45,Nacoes Shopping,NS
2025-07-21 00:00:00,445,1191,76,91.42,0.0,1188,173,0.0,1.85,4890,0.0,100,0.0,40222,0,628,2.26,0.0,300,2,0,40398,4,12,0,86,3.63,Nacoes Shopping,NS
2025-07-16 00:00:00,320,912,56,72.87,0.0,903,125,0.0,1.47,3781,0.0,65,0.0,32556,0,487,2.23,0.0,200,0,0,32724,2,15,0,64,3.19,Nacoes Shopping,NS
2025-08-08 00:00:00,126,417,21,37.27,0.0,411,66,0.0,1.32,1758,0.0,32,0.0,16998,0,265,2.18,0.0,102,1,0,17109,0,3,0,19,2.01,Nacoes Shopping,NS
2025-08-03 00:00:00,288,859,50,38.95,0.0,856,148,0.0,1.7,2953,0.0,74,0.0,20967,0,598,1.85,0.0,236,4,0,21071,1,8,0,42,2.76,Nacoes Shopping,NS
2025-07-29 00:00:00,182,585,45,54.23,0.0,591,66,0.0,1.38,2710,0.0,39,0.0,25711,0,265,2.1,0.0,118,1,0,25839,1,5,0,37,2.46,Nacoes Shopping,NS
2025-07-24 00:00:00,307,922,58,80.26,0.0,930,116,0.0,1.65,4046,0.0,63,0.0,36588,0,462,2.18,0.0,203,0,0,36813,2,9,0,44,3.57,Nacoes Shopping,NS
2025-07-19 00:00:00,772,2003,137,178.23,0.0,1994,418,0.0,1.64,8349,0.0,239,0.0,72983,0,1436,2.43,0.0,652,2,0,73411,10,27,0,124,3.46,Nacoes Shopping,NS
2025-07-14 00:00:00,220,658,38,48.1,0.0,668,98,0.0,1.49,2916,0.0,53,0.0,25650,0,392,1.87,0.0,170,0,0,25784,1,6,0,26,2.61,Nacoes Shopping,NS
2025-08-09 00:00:00,145,489,38,37.57,0.0,489,69,0.0,1.35,1837,0.0,38,0.0,17298,0,328,2.16,0.0,124,3,0,17390,1,5,0,17,2.02,Nacoes Shopping,NS
2025-08-04 00:00:00,251,772,52,37.41,0.0,780,131,0.0,1.75,2846,0.0,78,0.0,19369,0,538,1.92,0.0,223,6,0,19472,0,6,0,33,2.82,Nacoes Shopping,NS
2025-07-30 00:00:00,141,412,35,38.62,0.0,416,46,0.0,1.42,1885,0.0,21,0.0,17509,0,196,2.19,0.0,79,2,0,17610,1,3,0,21,2.47,Nacoes Shopping,NS
2025-07-25 00:00:00,322,897,60,79.91,0.0,889,128,0.0,1.54,3744,0.0,65,0.0,34221,0,434,2.32,0.0,208,1,0,34404,2,11,0,53,3.17,Nacoes Shopping,NS
2025-07-20 00:00:00,582,1554,91,111.34,0.0,1548,240,0.0,1.7,6212,0.0,153,0.0,47667,0,894,2.32,0.0,391,0,0,47937,3,17,0,99,3.61,Nacoes Shopping,NS
2025-07-15 00:00:00,164,534,30,46.36,0.0,529,64,0.0,1.38,2537,0.0,48,0.0,22957,0,304,2.01,0.0,119,0,0,23089,1,4,0,31,2.37,Nacoes Shopping,NS
2025-07-22 00:00:00,316,966,63,85.97,0.0,958,118,0.0,1.47,4280,0.0,62,0.0,37892,0,441,2.26,0.0,189,0,0,38106,0,11,0,73,2.73,Nacoes Shopping,NS
2025-07-17 00:00:00,498,1292,68,95.21,0.0,1291,188,0.0,1.57,5107,0.0,105,0.0,41645,0,708,2.27,0.0,305,2,0,41912,2,15,0,93,3.74,Nacoes Shopping,NS
2025-08-11 00:00:00,155,499,34,34.59,0.0,507,72,0.0,1.42,1943,0.0,36,0.0,16847,0,344,2.04,0.0,127,1,0,16940,0,5,0,15,2.12,Nacoes Shopping,NS
2025-08-06 00:00:00,229,702,40,37.26,0.0,715,137,0.0,1.63,2436,0.0,63,0.0,16690,0,503,2.22,0.0,203,8,0,16804,2,5,0,29,2.46,Nacoes Shopping,NS
2025-08-01 00:00:00,272,792,48,40.27,0.0,797,135,0.0,1.51,2758,0.0,71,0.0,20821,0,569,1.92,0.0,227,7,0,20947,0,7,0,36,2.64,Nacoes Shopping,NS
2025-07-27 00:00:00,283,847,50,70.8,0.0,841,106,0.0,1.5,3562,0.0,55,0.0,30793,0,401,2.29,0.0,175,1,0,30954,1,10,0,49,3.06,Nacoes Shopping,NS
2025-09-06 00:00:00,233,610,46,41.96,0.0,608,59,0.0,1.61,2332,0.0,28,0.0,19198,0,324,2.17,0.0,122,5,0,19322,2,10,0,43,2.08,Nacoes Shopping,NS
2025-09-01 00:00:00,340,841,52,42.03,0.0,834,88,0.0,1.73,3089,0.0,47,0.0,21061,0,437,1.98,0.0,167,4,0,21227,7,19,0,85,2.47,Nacoes Shopping,NS
2025-08-27 00:00:00,76,276,13,25.59,0.0,277,47,0.0,1.42,1162,0.0,27,0.0,10484,0,170,2.43,0.0,60,0,0,10539,1,0,0,9,2.11,Nacoes Shopping,NS
2025-08-22 00:00:00,92,262,27,28.96,0.0,258,44,0.0,1.3,1117,0.0,28,0.0,12447,0,173,2.32,0.0,70,0,0,12505,0,1,0,10,2.03,Nacoes Shopping,NS
2025-08-17 00:00:00,154,422,42,33.37,0.0,422,77,0.0,1.4,1692,0.0,43,0.0,16474,0,300,2.01,0.0,120,0,0,16561,2,4,0,22,2.12,Nacoes Shopping,NS
2025-08-12 00:00:00,169,527,36,35.32,0.0,526,94,0.0,1.47,1991,0.0,54,0.0,16580,0,357,2.12,0.0,137,5,0,16686,0,1,0,26,2.16,Nacoes Shopping,NS
2025-09-08 00:00:00,201,538,40,40.89,0.0,541,61,0.0,1.49,2218,0.0,31,0.0,18061,0,301,2.25,0.0,116,2,0,18198,1,13,0,33,1.93,Nacoes Shopping,NS
2025-09-03 00:00:00,327,786,58,42.37,0.0,775,81,0.0,1.74,2906,0.0,36,0.0,18283,0,435,2.29,0.0,165,1,0,18475,4,15,0,61,2.29,Nacoes Shopping,NS
2025-08-29 00:00:00,158,430,50,46.12,0.0,436,57,0.0,1.3,1983,0.0,34,0.0,20699,0,244,2.22,0.0,93,2,0,20818,1,5,0,32,2.79,Nacoes Shopping,NS
