stat_time_day,adgroup_id,clicks,comments,follows,likes,cpc,conversion,clicks_on_music_disc,spend,cpm,profile_visits,impressions,conversion_rate,cost_per_conversion,shares,total_complete_payment_rate,ctr,shopping,shopping_sigla,adgroup_name,campaign_id,optimization_goal,campaign_name
2025-10-25 00:00:00,1844351345526801,0,0,0,0,0.0,0,0,8.84,2.21,8,4005,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-15 00:00:00,1844351345526801,0,0,0,2,0.0,0,0,15.95,2.35,12,6785,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-05 00:00:00,1844351345526801,0,0,0,2,0.0,0,0,18.23,1.95,22,9346,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-11 00:00:00,1844352112172338,0,0,2,4,0.0,0,0,17.74,2.03,15,8739,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-01 00:00:00,1844352112172338,0,0,1,12,0.0,0,0,20.69,2.1,18,9848,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-21 00:00:00,1844352112172338,0,0,0,4,0.0,0,0,13.47,2.45,6,5492,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-18 00:00:00,1844351345526801,0,0,1,7,0.0,0,0,15.41,2.14,10,7200,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-08 00:00:00,1844351345526801,0,0,1,3,0.0,0,0,18.25,2.33,16,7845,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-09-28 00:00:00,1844351345526801,0,0,0,4,0.0,0,0,20.69,2.35,6,8821,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-24 00:00:00,1844352112172338,0,0,0,0,0.0,0,0,3.03,2.39,0,1266,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-14 00:00:00,1844352112172338,0,0,0,6,0.0,0,0,17.09,2.22,10,7700,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-04 00:00:00,1844352112172338,0,0,0,3,0.0,0,0,19.55,1.99,16,9818,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-01 00:00:00,1844351345526801,0,1,1,5,0.0,0,0,19.5,2.1,13,9273,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-21 00:00:00,1844351345526801,0,0,1,3,0.0,0,0,13.71,2.47,6,5547,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-09-27 00:00:00,1844352112172338,0,0,0,1,0.0,0,0,21.78,2.42,11,8998,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-11 00:00:00,1844351345526801,0,0,0,2,0.0,0,0,16.98,2.03,16,8362,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-11-24 00:00:00,1847431779247170,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20251030031724,1847431714944034,REACH,Alcance | Giftcard 
