adgroup_id,adgroup_name,campaign_id,status,budget,placement_type,optimization_goal,bid_type,shopping,shopping_sigla
1824314134904881,Ad group 20250217110758,1824314134904865,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
1823854793237554,Grupo de anúncios 20250212092853,1823854793231362,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
1823699330763810,Ad group 20250210041306,1823699330763778,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1823040792795233,Ad group 20250203095046,1823040792795217,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
1823040324442129,Ad group 20250203094144,1823040324441121,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1822766646405138,Ad group 20250131090612,1822766646405122,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1822522215426098,Ad group 20250128042539,1822522215426082,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1821790933462049,Ad group 20250120024659,1821790933462033,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1821235597788194,Ad group 20250114113709,1821235597787186,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1821234482256913,Ad group 20250114111959,1821234482256897,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1820714949888034,Ad group 20250108054007,1820714949888002,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1818078097231905,Ad group 20241210031050,1818078097231889,ENABLE,0.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1817609919757442,Ad group 20241205111002,1817609919756402,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1817609770121250,Ad group 20241205110738,1817609770112114,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1817439629683761,Ad group 20241203020111,1817439629678641,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1816174292454417,Ad group 20241119025152,1816174292453393,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1816174151943218,Ad group 20241119024950,1816174151943202,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1815433664765986,Ad group 20241111103822,1815433664760850,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1815433202021409,Ad group 20241111103107,1815433202016337,ENABLE,0.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1815093378943026,Ad group 20241107042324,1815093378942994,ENABLE,0.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1814982629549201,Grupo de anúncios 20241106110547,1814982629549185,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1814982165050401,Grupo de anúncios 20241106110134,1814982165049377,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1814439736548354,Grupo de anúncios 20241031111418,1814439736065074,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1811358948673586,Grupo de anúncios 20240927105321,1811358948673554,ENABLE,30.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1810464998161426,Grupo de anúncios 20240917022113,1810464998160434,ENABLE,260.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1810464590019633,Grupo de anúncios 20240917021212,1810464590019617,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1810109298356242,Grupo de anúncios 20240913040323,1810109298355250,ENABLE,1000.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_NO_BID,Nacoes Shopping,NS
1810108348448817,Grupo de anúncios 20240913035129,1810108348443697,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1809919349623810,Grupo de anúncios 20240911014905,1809919349622786,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1809919004667906,Grupo de anúncios 20240911014249,1809919004666930,ENABLE,280.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1807304601279617,NSpromopais24,1807304475777041,ENABLE,600.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
