shopping,shopping_sigla,grupo_anuncio,keyword,match_type,quality_score,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes
GERAL,GERAL,Grupo de anúncios 1,ingresso cinema,BROAD,9.0,2026-02-08,1511,447,0.2958305757776307,0.10349814317673378,46.26367,161.784704,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,7.0,2026-01-17,686,97,0.141399416909621,0.46024798969072167,44.644055,25.543479,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurantes continente shopping,BROAD,8.0,2026-01-13,246,49,0.1991869918699187,0.8680199387755102,42.532977,65.0,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurante no continente shopping,BROAD,7.0,2025-12-19,236,53,0.2245762711864407,0.7883442264150944,41.782244,51.0,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-18,199,41,0.20603015075376885,1.0098110487804879,41.402253,31.333333,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,7.0,2026-01-18,497,91,0.18309859154929578,0.45334459340659344,41.254358,31.333333,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurante no continente shopping,BROAD,7.0,2025-12-20,377,71,0.1883289124668435,0.5757899718309859,40.881088,75.166667,0.0
GERAL,GERAL,Grupo de anúncios 1,loja garten shopping,BROAD,6.0,2025-12-14,517,78,0.15087040618955513,0.5094509871794872,39.737177,78.166667,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,7.0,2026-01-16,651,76,0.11674347158218126,0.5215061052631579,39.634464,31.190476,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-17,569,72,0.1265377855887522,0.5467734583333334,39.367689,14.645834,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,8.0,2025-12-12,529,61,0.11531190926275993,0.641164131147541,39.111012,73.479166,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,7.0,2025-12-14,862,109,0.12645011600928074,0.34677247706422015,37.7982,119.333334,0.0
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-02-27,80,26,0.325,1.4294160384615384,37.164817,41.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-15,515,76,0.14757281553398058,0.4861839210526316,36.949978,28.379281,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,7.0,2025-12-12,606,79,0.13036303630363036,0.4573782911392405,36.132885,78.0,0.0
GERAL,GERAL,Grupo de anúncios 1,loja garten shopping,BROAD,6.0,2025-12-11,351,36,0.10256410256410256,1.0011460555555556,36.041258,40.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-16,624,80,0.1282051282051282,0.44977311249999996,35.981849,23.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping balneário camboriú,BROAD,8.0,2025-12-12,669,89,0.13303437967115098,0.40379262921348313,35.937544,161.09091,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-24,186,36,0.1935483870967742,0.9896327222222222,35.626778,41.645834,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping criciuma,BROAD,8.0,2025-12-14,333,67,0.2012012012012012,0.5272652388059702,35.326771,72.594908,0.0
GERAL,GERAL,Grupo de anúncios 1,filmes assistir,BROAD,,2026-02-07,807,158,0.19578686493184635,0.222829,35.206982,57.909089,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema shopping nações criciuma,BROAD,8.0,2026-01-18,355,125,0.352112676056338,0.27947144799999996,34.933931,35.873379,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-20,125,38,0.304,0.9176920526315789,34.872298,71.483333,0.0
GERAL,GERAL,Grupo de anúncios 1,loja garten shopping,BROAD,6.0,2025-12-12,239,39,0.16317991631799164,0.89381,34.85859,36.5,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping criciuma,BROAD,8.0,2025-12-11,299,35,0.11705685618729098,0.9805135428571429,34.317974,37.5,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-17,575,77,0.13391304347826086,0.4433858441558442,34.14071,20.41454,0.0
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-02-15,192,45,0.234375,0.7574440888888889,34.084984,22.8125,0.0
