shopping,shopping_sigla,campanha_id,campanha,status,tipo_canal,estrategia_lance,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,cpa,impression_share,view_through_conv,todas_conversoes,valor_todas_conversoes,interacoes,taxa_interacao
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-08,2620,187,0.07137404580152672,0.11349475935828876,21.22352,46.0,0.0,0.4613808695652174,0.33707865168539325,0,132.5,0.0,187,0.07137404580152672
GERAL,GERAL,24235134631,[PMAX - JAMAL ESFIHA],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-08,894,26,0.029082774049217,0.30348638461538463,7.890646,6.0,0.0,1.3151076666666668,0.3904761904761905,0,39.0,0.0,26,0.029082774049217
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,909,167,0.18371837183718373,0.23258445508982034,38.841604,64.0,0.0,0.6069000625,0.0999,0,89.0,0.0,167,0.18371837183718373
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,5084,1100,0.21636506687647522,0.0677652590909091,74.541785,199.0,0.0,0.3745818341708542,0.41980676328502414,0,482.008927,1.008927,1100,0.21636506687647522
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,778,243,0.31233933161953725,0.14802698765432099,35.970558,21.0,0.0,1.7128837142857143,0.1188568376068376,0,42.0,0.0,243,0.31233933161953725
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,1438,320,0.22253129346314326,0.124481234375,39.833995,50.0,0.0,0.7966799,0.12242885319808397,0,117.0,0.0,320,0.22253129346314326
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,709,108,0.152327221438646,0.34928176851851855,37.722431,48.0,0.0,0.7858839791666666,0.0999,0,156.0,0.0,108,0.152327221438646
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,6623,1975,0.298203231164125,0.02563564151898734,50.630392,133.0,0.0,0.3806796390977444,0.5334554162558107,0,402.327983,0.994649,1975,0.298203231164125
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-07,24368,205,0.008412672357189756,0.15506631707317073,31.788595,60.0,0.0,0.5298099166666667,0.25963808025177026,0,113.0,0.0,205,0.008412672357189756
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-07,931,40,0.04296455424274973,0.38730477500000005,15.492191,13.0,0.0,1.191707,0.504885993485342,0,30.0,0.0,40,0.04296455424274973
