shopping,shopping_sigla,conversion_action_name,categoria,data,conversoes,valor_conversoes
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-08,56.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-09,73.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-10,82.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-11,61.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-12,53.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-13,55.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-14,52.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-15,76.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-16,92.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-17,68.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-18,55.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-19,53.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-20,67.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-21,49.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-22,46.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-23,67.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-24,54.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-25,42.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-26,52.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-27,49.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-28,27.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-29,64.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-30,56.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-08-31,44.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-01,77.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-02,70.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-03,45.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-04,52.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-05,61.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-06,100.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-07,88.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-08,46.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-09,53.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-10,51.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-11,63.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-12,60.0,0.0
GERAL,GERAL,Almeida-Junior-Apps - AJFans (Android) First open,DOWNLOAD,2025-09-13,85.0,0.0
