shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2025-12-26,164669,2559,0.015540265623766465,0.30892254005470887,790.53278,6477.958639,10.0,0.01264969682851102,0.1220342432013481,0.2099207184452396
GERAL,GERAL,2025-12-27,161880,2602,0.01607363479120336,0.29884473136049194,777.593991,5914.100001,10.0,0.012860181683168383,0.13148137347500358,0.19786464611675564
GERAL,GERAL,2025-12-28,167823,2676,0.015945371015891743,0.30729676831091185,822.326152,5747.143884,11.0,0.013376687550610698,0.14308431607034391,0.16534046898105767
GERAL,GERAL,2025-12-29,161702,3175,0.01963488392227678,0.2561184645669291,813.176125,6757.125169,15.0,0.018446188394918753,0.12034350476895835,0.21786356177229038
GERAL,GERAL,2025-12-30,176257,3027,0.017173786005662186,0.24392809547406674,738.370345,6704.115073,10.0,0.013543339149136602,0.11013688413161282,0.2199897338124221
GERAL,GERAL,2025-12-31,151027,2352,0.015573374297311076,0.26451246130952377,622.133309,4273.719378,7.0,0.011251607812562885,0.14557186702584665,0.271266855335442
GERAL,GERAL,2026-01-01,136922,2773,0.020252406479601526,0.23459985683375406,650.545403,4066.975094,6.0,0.009223030356268615,0.15995804940132244,0.24733298808907303
GERAL,GERAL,2026-01-02,609,13,0.021346469622331693,0.46315792307692305,6.021053,23.0,0.0,0.0,0.2617849130434783,0.0999
GERAL,GERAL,2026-01-03,630,10,0.015873015873015872,0.4978249,4.978249,22.0,0.0,0.0,0.22628404545454545,0.0999
GERAL,GERAL,2026-01-05,17,2,0.11764705882352941,0.411089,0.822178,0.0,0.0,0.0,0.0,0.0999
GERAL,GERAL,2026-01-06,185243,1768,0.009544220294424081,0.5788263444570135,1023.364977,3939.636366,8.0,0.007817347847345767,0.25976127792704,0.18356291595728216
GERAL,GERAL,2026-01-07,229373,1867,0.00813958050860389,0.5466337605784681,1020.565231,5242.635283,5.0,0.004899245876817451,0.19466645606825442,0.21265963353692394
GERAL,GERAL,2026-01-08,343665,4757,0.013841968195772046,0.33705996321210846,1603.394245,6826.798325,12.0,0.007484123157745275,0.23486767422560414,0.20029720836429254
GERAL,GERAL,2026-01-09,562187,11984,0.021316750476265016,0.2344173214285714,2809.25718,9227.423066,11.0,0.00391562583814416,0.304446556737079,0.19136269136269135
GERAL,GERAL,2026-01-10,633037,15069,0.02380429579945564,0.19909651396907557,3000.185369,10524.052213,7.0,0.002333189166352474,0.2850789133575348,0.20423156038789303
GERAL,GERAL,2026-01-11,589993,14633,0.024801989176142767,0.1673771795940682,2449.230269,8142.841972,4.0,0.0016331661627035036,0.3007832249995678,0.240118187787262
GERAL,GERAL,2026-01-12,445411,13329,0.029925170236029197,0.1612245126416085,2148.961529,7128.578246,19.0,0.008841479823438941,0.30145724081878866,0.28779138215210737
GERAL,GERAL,2026-01-13,495532,14207,0.028670196879313548,0.15984609502357994,2270.933472,7379.066761,14.0,0.006164865757899225,0.3077534796137617,0.2996380090497738
GERAL,GERAL,2026-01-14,503858,13738,0.02726561848774853,0.15557773249381276,2137.326889,6860.138458,12.0,0.005614489791785893,0.31155739816119027,0.2587909552376557
GERAL,GERAL,2026-01-15,507270,13219,0.02605910067616851,0.18498641001588623,2445.335354,7007.690237,13.0,0.0053162442438559705,0.34895026339618157,0.24725175707334654
GERAL,GERAL,2026-01-16,521942,9887,0.018942717773239172,0.2952713660362092,2919.347996,7470.698887,7.0,0.002397795675469722,0.39077307761393654,0.22614335971855762
GERAL,GERAL,2026-01-17,555034,12578,0.02266167478028373,0.25159642343774846,3164.579814,8729.909025,22.0,0.0069519497984132685,0.3624986016392078,0.23196865504557812
GERAL,GERAL,2026-01-18,366121,8039,0.021957221792795276,0.377065514865033,3031.229674,7446.177321,26.0,0.00857737710309839,0.4070853463899131,0.2794076083884461
GERAL,GERAL,2026-01-19,227570,5658,0.024862679615063495,0.20207019971721457,1143.31319,6607.349732,19.0,0.01661836858542671,0.17303657841249565,0.3137114142139268
GERAL,GERAL,2026-01-20,250294,4629,0.01849425076110494,0.2427840162022035,1123.847211,5991.651933,9.0,0.008008206019385672,0.1875688413758196,0.3064950918061136
